opportunity_id,account_id,opportunity_name,created_date,close_date,stage_name,amount,probability,expected_revenue,owner_id,lead_source,primary_campaign_id,forecast_category,next_step,days_in_current_stage,is_stale
OPP000024,ACC000223,Clearpath Systems - RevOps Retainer,2026-02-13,2026-04-12,Closed Won,23882,1.0,23882.0,USR000022,Partner,CMP000029,Closed,,44,False
OPP000025,ACC000575,Meridian Ops 42 - Lead Routing,2025-10-05,2026-03-15,Closed Lost,187763,0.0,0.0,USR000009,Webinar,CMP000019,Closed,,30,False
OPP000026,ACC000249,Nova Intelligence 92 - Reporting Build,2025-11-19,2026-05-17,Proposal,208538,0.6,125122.8,USR000023,Direct,CMP000010,Best Case,No next step logged,19,True
OPP000027,ACC000525,BluePeak Software 47 - HubSpot-SFDC Integration,2025-04-06,2025-07-04,Closed Lost,24606,0.0,0.0,USR000019,Direct,CMP000019,Closed,,31,False
OPP000028,ACC000149,Signal Cloud 71 - CRM Cleanup,2025-01-07,2025-03-29,Closed Lost,22435,0.0,0.0,USR000011,Direct,CMP000015,Closed,,54,False
OPP000029,ACC000364,Evergreen Systems 95 - CRM Cleanup,2025-01-19,2025-06-13,Discovery,138812,0.25,34703.0,USR000022,Partner,CMP000022,Best Case,Technical scoping,26,False
OPP000030,ACC000425,Apex Dynamics 7 - CRM Cleanup,2025-04-12,2025-05-13,Negotiation,19896,0.75,14922.0,USR000018,Referral,CMP000019,Commit,Technical scoping,37,False
OPP000031,ACC000495,Atlas Systems 51 - CRM Cleanup,2025-07-07,2025-10-26,Prospecting,101392,0.1,10139.2,USR000027,LinkedIn,CMP000005,Commit,Technical scoping,110,True
OPP000032,ACC000289,Signal Software 70 - HubSpot-SFDC Integration,2025-04-24,2025-07-09,Prospecting,17223,0.1,1722.3,USR000007,Organic Search,CMP000007,Commit,Technical scoping,40,False
OPP000033,ACC000296,Vertex Data 36 - HubSpot-SFDC Integration,2026-03-26,2026-05-21,Closed Lost,37330,0.0,0.0,USR000010,Organic Search,CMP000025,Closed,,80,False
OPP000034,ACC000425,Apex Dynamics 7 - Lead Routing,2025-03-17,2025-04-26,Demo,7512,0.4,3004.8,USR000014,Outbound,CMP000025,Pipeline,No next step logged,31,True
OPP000035,ACC000043,Summit Analytics 90 - CRM Cleanup,2026-01-05,2026-03-04,Closed Lost,20213,0.0,0.0,USR000023,Partner,CMP000001,Closed,,32,False
OPP000036,ACC000616,Pioneer Platform 96 - HubSpot-SFDC Integration,2026-01-12,2026-06-09,Negotiation,109521,0.75,82140.75,USR000014,Direct,CMP000013,Pipeline,Schedule discovery,23,False
OPP000037,ACC000382,Catalyst Works 16 - CRM Cleanup,2025-03-20,2025-07-22,Demo,75680,0.4,30272.0,USR000019,LinkedIn,CMP000019,Best Case,No next step logged,41,True
OPP000038,ACC000346,Vertex Platform - Lead Routing,2025-12-12,2026-05-18,Proposal,162402,0.6,97441.2,USR000018,Event,CMP000006,Pipeline,Legal review,27,False
OPP000039,ACC000277,Meridian Works 77 - RevOps Retainer,2025-01-15,2025-03-14,Closed Lost,259650,0.0,0.0,USR000021,Referral,CMP000010,Closed,,39,False
OPP000040,ACC000479,Evergreen Markets 75 - HubSpot-SFDC Integration,2025-08-28,2026-02-02,Negotiation,48429,0.75,36321.75,USR000014,Event,CMP000025,Best Case,Legal review,32,False
OPP000041,ACC000064,Vertex Systems - CRM Cleanup,2026-04-18,2026-10-07,Prospecting,54445,0.1,5444.5,USR000018,LinkedIn,CMP000026,Best Case,No next step logged,36,True
OPP000042,ACC000362,Atlas Markets - Lifecycle Redesign,2025-08-09,2025-09-20,Closed Won,62093,1.0,62093.0,USR000011,Paid Search,CMP000030,Closed,,14,False
OPP000043,ACC000052,Pioneer Platform - Lead Routing,2025-09-25,2025-11-26,Discovery,33206,0.25,8301.5,USR000014,Content Download,CMP000025,Best Case,Schedule discovery,64,True
OPP000044,ACC000557,Vertex Labs - Lifecycle Redesign,2026-05-13,2026-09-19,Prospecting,40537,0.1,4053.7,USR000022,Outbound,CMP000004,Best Case,Technical scoping,17,False
OPP000045,ACC000273,Summit Cloud - Lead Routing,2025-01-26,2025-05-03,Proposal,112413,0.6,67447.8,USR000022,Outbound,CMP000012,Pipeline,Send proposal,26,False
OPP000046,ACC000019,Catalyst Markets 54 - Reporting Build,2025-09-21,2025-12-16,Discovery,94349,0.25,23587.25,USR000009,Content Download,CMP000028,Best Case,Schedule discovery,49,True
OPP000047,ACC000141,Nimbus Data - HubSpot-SFDC Integration,2025-10-13,2026-03-23,Demo,615787,0.4,246314.8,USR000019,Direct,CMP000034,Best Case,Executive follow-up,38,False
OPP000048,ACC000515,Catalyst Intelligence 41 - Lifecycle Redesign,2025-09-03,2026-02-10,Negotiation,26358,0.75,19768.5,USR000027,Referral,CMP000005,Pipeline,No next step logged,11,True
OPP000049,ACC000007,BluePeak Health - CRM Cleanup,2026-01-04,2026-03-05,Demo,23523,0.4,9409.2,USR000005,Event,CMP000004,Commit,Executive follow-up,40,False
OPP000050,ACC000259,Nimbus Software - Lead Routing,2025-02-19,2025-03-06,Demo,38881,0.4,15552.4,USR000010,Partner,CMP000003,Commit,Legal review,70,True
OPP000051,ACC000246,Apex Networks - RevOps Retainer,2026-02-10,2026-05-08,Discovery,121519,0.25,30379.75,USR000007,Outbound,CMP000036,Commit,No next step logged,69,True
OPP000052,ACC000079,Meridian Solutions 98 - Lead Routing,2025-01-16,2025-02-06,Negotiation,23390,0.75,17542.5,USR000022,Content Download,CMP000024,Commit,No next step logged,13,True
OPP000053,ACC000367,Evergreen Ops - CRM Cleanup,2025-11-16,2026-05-07,Negotiation,104210,0.75,78157.5,USR000021,Partner,CMP000026,Best Case,Legal review,44,False
OPP000054,ACC000491,Vertex Systems 24 - Lifecycle Redesign,2025-03-30,2025-05-14,Closed Won,14647,1.0,14647.0,USR000005,Content Download,CMP000032,Closed,,50,False
OPP000055,ACC000179,Catalyst Ops 73 - Lifecycle Redesign,2026-04-29,2026-08-04,Closed Lost,23202,0.0,0.0,USR000011,Outbound,CMP000029,Closed,,44,False
OPP000056,ACC000511,Apex Data - Lifecycle Redesign,2025-06-04,2025-08-14,Closed Won,30921,1.0,30921.0,USR000010,Webinar,CMP000014,Closed,,41,False
OPP000057,ACC000303,Catalyst Dynamics 19 - Lifecycle Redesign,2026-02-02,2026-07-05,Discovery,83610,0.25,20902.5,USR000018,Webinar,CMP000035,Pipeline,Executive follow-up,4,False
OPP000058,ACC000464,Catalyst Intelligence - CRM Cleanup,2025-11-03,2026-04-25,Closed Lost,283042,0.0,0.0,USR000019,Referral,CMP000010,Closed,,18,False
OPP000059,ACC000337,Vertex Systems 29 - Lifecycle Redesign,2025-08-10,2025-11-14,Demo,139980,0.4,55992.0,USR000018,Event,CMP000022,Pipeline,Technical scoping,3,False
OPP000060,ACC000359,Clearpath Health 19 - Lifecycle Redesign,2025-03-30,2025-07-15,Demo,52951,0.4,21180.4,USR000009,Event,CMP000003,Commit,Executive follow-up,35,False
OPP000061,ACC000649,Atlas Data 82 - Lifecycle Redesign,2025-04-06,2025-07-16,Prospecting,32192,0.1,3219.2,USR000014,Event,CMP000013,Best Case,Schedule discovery,21,False
OPP000062,ACC000006,Northstar Data - Lifecycle Redesign,2026-01-16,2026-04-21,Demo,50010,0.4,20004.0,USR000014,Event,CMP000028,Commit,Schedule discovery,14,False
OPP000063,ACC000340,Summit Health 69 - HubSpot-SFDC Integration,2025-02-21,2025-06-11,Discovery,296834,0.25,74208.5,USR000018,Organic Search,CMP000011,Commit,No next step logged,36,True
OPP000064,ACC000507,Atlas Data 17 - Lead Routing,2025-04-15,2025-05-18,Closed Lost,18518,0.0,0.0,USR000022,Partner,CMP000013,Closed,,40,False
OPP000065,ACC000621,Signal Labs 78 - HubSpot-SFDC Integration,2025-03-10,2025-07-31,Closed Lost,118238,0.0,0.0,USR000011,Partner,CMP000029,Closed,,23,False
OPP000066,ACC000327,Cobalt Software 99 - Lifecycle Redesign,2026-05-01,2026-08-25,Closed Lost,128359,0.0,0.0,USR000011,Content Download,CMP000030,Closed,,23,False
OPP000067,ACC000237,Northstar Markets - CRM Cleanup,2025-05-12,2025-07-01,Closed Lost,42826,0.0,0.0,USR000011,Content Download,CMP000028,Closed,,30,False
OPP000068,ACC000401,Keystone Software - Reporting Build,2025-07-17,2025-10-15,Prospecting,11860,0.1,1186.0,USR000014,Event,,Commit,Schedule discovery,27,False
OPP000069,ACC000081,Bright Systems - RevOps Retainer,2025-06-02,2025-07-13,Discovery,22713,0.25,5678.25,USR000005,Event,CMP000034,Pipeline,Send proposal,36,False
OPP000070,ACC000424,Nimbus Health 75 - Lead Routing,2025-09-14,2025-12-23,Discovery,61909,0.25,15477.25,USR000018,Outbound,CMP000008,Best Case,Schedule discovery,18,False
OPP000071,ACC000165,Catalyst Group - RevOps Retainer,2025-09-27,2026-02-12,Discovery,305626,0.25,76406.5,USR000023,Paid Search,CMP000016,Commit,Legal review,12,False
OPP000072,ACC000404,Cobalt Cloud - Reporting Build,2025-05-15,2025-06-04,Proposal,13365,0.6,8019.0,USR000023,Outbound,CMP000013,Pipeline,Executive follow-up,70,True
OPP000073,ACC000064,Vertex Systems - Lead Routing,2026-02-06,2026-05-23,Demo,194252,0.4,77700.8,USR000022,Content Download,CMP000012,Commit,Legal review,23,False
OPP000074,ACC000540,Cobalt Data 58 - HubSpot-SFDC Integration,2026-05-30,2026-09-02,Prospecting,36918,0.1,3691.8,USR000005,Content Download,CMP000003,Commit,Executive follow-up,70,True
OPP000075,ACC000290,Vertex Health - HubSpot-SFDC Integration,2025-07-25,2026-01-14,Demo,473676,0.4,189470.4,USR000021,Paid Search,CMP000025,Best Case,Schedule discovery,31,False
OPP000076,ACC000114,Nimbus Systems 13 - CRM Cleanup,2026-01-23,2026-04-15,Discovery,101231,0.25,25307.75,USR000018,Organic Search,CMP000018,Best Case,Executive follow-up,53,True
OPP000077,ACC000513,Ironwood Platform - HubSpot-SFDC Integration,2026-03-06,2026-04-29,Negotiation,21485,0.75,16113.75,USR000005,Outbound,CMP000007,Pipeline,Legal review,33,False
OPP000078,ACC000553,Vertex Networks 66 - Reporting Build,2025-01-20,2025-03-30,Proposal,93817,0.6,56290.2,USR000018,Organic Search,CMP000013,Commit,Schedule discovery,38,False
OPP000079,ACC000606,Cobalt Dynamics - Reporting Build,2025-03-26,2025-07-21,Closed Won,291421,1.0,291421.0,USR000021,Paid Search,CMP000002,Closed,,88,False
OPP000080,ACC000428,Catalyst Labs 53 - Lead Routing,2025-10-18,2026-01-12,Closed Won,23743,1.0,23743.0,USR000023,Direct,CMP000031,Closed,,20,False
OPP000081,ACC000479,Evergreen Markets 75 - RevOps Retainer,2026-05-18,2026-10-12,Discovery,81960,0.25,20490.0,USR000011,Paid Search,CMP000034,Pipeline,Legal review,91,True
OPP000082,ACC000118,Meridian Labs 60 - Lifecycle Redesign,2025-01-18,2025-06-16,Proposal,288384,0.6,173030.4,USR000007,Referral,CMP000033,Commit,Technical scoping,29,False
OPP000083,ACC000606,Cobalt Dynamics - Reporting Build,2025-11-06,2026-02-26,Closed Won,147079,1.0,147079.0,USR000027,Referral,CMP000030,Closed,,22,False
OPP000084,ACC000606,Cobalt Dynamics - RevOps Retainer,2026-03-08,2026-08-06,Negotiation,95669,0.75,71751.75,USR000011,LinkedIn,CMP000017,Commit,No next step logged,30,True
OPP000085,ACC000242,Meridian Intelligence 67 - HubSpot-SFDC Integration,2026-06-01,2026-08-14,Prospecting,56702,0.1,5670.2,USR000023,Paid Search,CMP000029,Pipeline,Technical scoping,38,False
OPP000086,ACC000434,Bright Dynamics 68 - Lifecycle Redesign,2025-07-29,2025-10-28,Proposal,18146,0.6,10887.6,USR000007,Partner,CMP000009,Commit,Legal review,66,True
OPP000087,ACC000332,Bright Dynamics 96 - HubSpot-SFDC Integration,2026-05-04,2026-06-02,Negotiation,20965,0.75,15723.75,USR000011,LinkedIn,CMP000034,Commit,No next step logged,43,True
OPP000088,ACC000076,Nova Platform - HubSpot-SFDC Integration,2025-05-29,2025-08-15,Demo,29286,0.4,11714.4,USR000005,LinkedIn,CMP000028,Pipeline,Send proposal,31,False
OPP000089,ACC000310,Cobalt Labs 56 - HubSpot-SFDC Integration,2025-08-23,2026-01-25,Closed Lost,128662,0.0,0.0,USR000019,Direct,CMP000027,Closed,,44,False
OPP000090,ACC000023,Vertex Ops - Lifecycle Redesign,2025-10-15,2026-01-09,Demo,162192,0.4,64876.8,USR000010,Referral,CMP000006,Pipeline,Technical scoping,78,True
OPP000091,ACC000290,Vertex Health - RevOps Retainer,2026-02-05,2026-05-30,Demo,105320,0.4,42128.0,USR000010,Outbound,CMP000036,Commit,No next step logged,14,True
OPP000092,ACC000144,Meridian Markets - CRM Cleanup,2025-07-06,2025-10-10,Demo,363650,0.4,145460.0,USR000014,Paid Search,CMP000004,Commit,Send proposal,25,False
OPP000093,ACC000262,Clearpath Software 45 - HubSpot-SFDC Integration,2025-02-15,2025-05-23,Discovery,45594,0.25,11398.5,USR000022,Webinar,CMP000028,Pipeline,No next step logged,19,True
OPP000094,ACC000273,Summit Cloud - Lead Routing,2026-05-28,2026-10-24,Prospecting,56262,0.1,5626.2,USR000010,Referral,CMP000016,Best Case,Executive follow-up,28,False
OPP000095,ACC000338,Apex Systems 70 - CRM Cleanup,2025-08-01,2025-10-06,Closed Won,37596,1.0,37596.0,USR000014,Event,CMP000012,Closed,,14,False
OPP000096,ACC000026,Ironwood Markets - HubSpot-SFDC Integration,2025-12-03,2026-05-31,Proposal,96531,0.6,57918.6,USR000023,Content Download,CMP000005,Best Case,Schedule discovery,13,False
OPP000097,ACC000209,Vertex Analytics 84 - Reporting Build,2025-04-23,2025-06-25,Proposal,26784,0.6,16070.4,USR000019,Webinar,CMP000034,Commit,No next step logged,41,True
OPP000098,ACC000021,Bright Health - Lead Routing,2025-07-16,2025-09-11,Demo,7885,0.4,3154.0,USR000014,Outbound,CMP000010,Best Case,No next step logged,20,True
OPP000099,ACC000621,Signal Labs 78 - CRM Cleanup,2025-07-14,2025-11-19,Closed Lost,31427,0.0,0.0,USR000023,Paid Search,CMP000015,Closed,,31,False
OPP000100,ACC000139,Keystone Networks - RevOps Retainer,2026-01-24,2026-02-08,Demo,33789,0.4,13515.6,USR000005,Event,,Pipeline,Schedule discovery,34,False
OPP000101,ACC000601,Summit Markets 88 - Lifecycle Redesign,2025-09-18,2025-11-11,Closed Lost,41377,0.0,0.0,USR000005,Content Download,,Closed,,24,False
OPP000102,ACC000399,Nova Cloud 74 - Lead Routing,2026-03-18,2026-05-08,Demo,54209,0.4,21683.6,USR000010,LinkedIn,CMP000020,Commit,Send proposal,52,True
OPP000103,ACC000362,Atlas Markets - CRM Cleanup,2025-02-14,2025-06-12,Demo,107030,0.4,42812.0,USR000018,Organic Search,CMP000032,Best Case,No next step logged,69,True
OPP000104,ACC000256,Nova Dynamics 46 - CRM Cleanup,2026-05-31,2026-07-13,Prospecting,37571,0.1,3757.1,USR000018,Organic Search,CMP000025,Pipeline,No next step logged,26,True
OPP000105,ACC000324,Atlas Cloud - RevOps Retainer,2025-01-22,2025-05-16,Prospecting,109072,0.1,10907.2,USR000009,Referral,CMP000016,Pipeline,Send proposal,8,False
OPP000106,ACC000602,Vertex Networks 19 - Lifecycle Redesign,2025-02-13,2025-02-28,Prospecting,15675,0.1,1567.5,USR000009,Outbound,CMP000026,Commit,Legal review,24,False
OPP000107,ACC000194,Keystone Platform 69 - Reporting Build,2025-12-02,2026-02-18,Discovery,16184,0.25,4046.0,USR000007,Outbound,CMP000003,Commit,Schedule discovery,7,False
OPP000108,ACC000153,Nimbus Platform 83 - RevOps Retainer,2026-04-06,2026-05-20,Demo,23722,0.4,9488.8,USR000027,Partner,CMP000014,Pipeline,Schedule discovery,13,False
OPP000109,ACC000393,Nova Works 39 - RevOps Retainer,2025-08-26,2025-11-06,Prospecting,6012,0.1,601.2,USR000021,Paid Search,CMP000022,Best Case,Send proposal,14,False
OPP000110,ACC000527,Ironwood Cloud 13 - Lead Routing,2025-06-01,2025-10-11,Closed Lost,510826,0.0,0.0,USR000007,Organic Search,CMP000036,Closed,,46,False
OPP000111,ACC000435,BluePeak Cloud 83 - RevOps Retainer,2025-08-26,2025-12-13,Demo,23466,0.4,9386.4,USR000010,Direct,CMP000036,Pipeline,Schedule discovery,34,False
OPP000112,ACC000409,Cobalt Health 19 - HubSpot-SFDC Integration,2025-10-25,2025-12-29,Prospecting,52364,0.1,5236.4,USR000023,Outbound,CMP000020,Best Case,Technical scoping,19,False
OPP000113,ACC000326,Clearpath Intelligence 13 - HubSpot-SFDC Integration,2026-02-25,2026-05-11,Proposal,59699,0.6,35819.4,USR000027,Partner,CMP000015,Best Case,Executive follow-up,34,False
OPP000114,ACC000521,Summit Ops 58 - Lifecycle Redesign,2026-04-30,2026-08-16,Closed Lost,40490,0.0,0.0,USR000027,Outbound,CMP000031,Closed,,21,False
OPP000115,ACC000367,Evergreen Ops - CRM Cleanup,2025-02-14,2025-07-07,Prospecting,43738,0.1,4373.8,USR000005,Event,CMP000014,Pipeline,Executive follow-up,8,False
OPP000116,ACC000515,Catalyst Intelligence 41 - Lifecycle Redesign,2025-11-18,2026-02-28,Discovery,19271,0.25,4817.75,USR000019,Partner,CMP000033,Best Case,Legal review,16,False
OPP000117,ACC000547,Summit Platform 29 - CRM Cleanup,2026-02-19,2026-05-06,Proposal,57311,0.6,34386.6,USR000021,Content Download,CMP000022,Pipeline,Legal review,35,False
OPP000118,ACC000174,Vertex Markets 10 - Lead Routing,2025-09-14,2025-10-23,Demo,106667,0.4,42666.8,USR000027,LinkedIn,CMP000019,Best Case,Legal review,27,False
OPP000119,ACC000246,Apex Networks - RevOps Retainer,2025-09-15,2026-01-09,Proposal,164970,0.6,98982.0,USR000021,Content Download,CMP000024,Best Case,No next step logged,16,True
OPP000120,ACC000300,Apex Solutions - Reporting Build,2026-04-18,2026-06-14,Discovery,17520,0.25,4380.0,USR000011,Referral,CMP000004,Commit,Schedule discovery,22,False
OPP000121,ACC000463,Catalyst Health 65 - Reporting Build,2025-05-04,2025-09-24,Closed Won,270701,1.0,270701.0,USR000023,Partner,CMP000030,Closed,,47,False
OPP000122,ACC000639,Nimbus Networks 72 - HubSpot-SFDC Integration,2025-08-24,2025-09-16,Proposal,13789,0.6,8273.4,USR000005,Organic Search,CMP000033,Commit,Executive follow-up,45,False
OPP000123,ACC000304,Evergreen Markets 98 - Lead Routing,2026-06-03,2026-10-05,Demo,107669,0.4,43067.6,USR000027,Referral,CMP000030,Commit,Send proposal,24,False
OPP000124,ACC000527,Ironwood Cloud 13 - Reporting Build,2025-05-29,2025-10-09,Negotiation,192178,0.75,144133.5,USR000014,Outbound,,Best Case,Executive follow-up,32,False
OPP000125,ACC000415,Nimbus Software 7 - HubSpot-SFDC Integration,2026-06-02,2026-10-25,Prospecting,153052,0.1,15305.2,USR000019,Paid Search,CMP000017,Commit,Technical scoping,11,False
OPP000126,ACC000557,Vertex Labs - Lead Routing,2025-03-13,2025-07-02,Proposal,50536,0.6,30321.6,USR000011,Content Download,CMP000027,Commit,Technical scoping,42,False
OPP000127,ACC000007,BluePeak Health - RevOps Retainer,2025-12-09,2026-02-28,Closed Lost,179101,0.0,0.0,USR000010,Content Download,CMP000013,Closed,,30,False
OPP000128,ACC000325,Keystone Cloud - HubSpot-SFDC Integration,2025-04-23,2025-08-17,Closed Lost,98657,0.0,0.0,USR000018,Referral,CMP000024,Closed,,22,False
OPP000129,ACC000433,Catalyst Ops - RevOps Retainer,2025-10-05,2026-03-22,Demo,166769,0.4,66707.6,USR000018,Event,CMP000006,Commit,Schedule discovery,23,False
OPP000130,ACC000609,Keystone Ops - RevOps Retainer,2025-11-03,2026-03-02,Closed Won,125529,1.0,125529.0,USR000023,Content Download,CMP000029,Closed,,28,False
OPP000131,ACC000221,Catalyst Systems - Lead Routing,2026-06-04,2026-08-20,Demo,27858,0.4,11143.2,USR000014,Webinar,CMP000020,Commit,Send proposal,22,False
OPP000132,ACC000441,Catalyst Intelligence 52 - Reporting Build,2025-08-18,2026-02-19,Proposal,186023,0.6,111613.8,USR000007,Partner,CMP000017,Commit,Schedule discovery,25,False
OPP000133,ACC000282,BluePeak Markets 96 - Reporting Build,2025-08-04,2025-09-09,Demo,30745,0.4,12298.0,USR000009,Organic Search,CMP000021,Commit,Technical scoping,22,False
OPP000134,ACC000020,Keystone Intelligence - Lead Routing,2026-05-10,2026-06-30,Discovery,9549,0.25,2387.25,USR000021,Event,CMP000003,Best Case,Technical scoping,33,False
OPP000135,ACC000372,Cobalt Health 95 - Lifecycle Redesign,2025-12-23,2026-02-10,Closed Won,13120,1.0,13120.0,USR000007,Content Download,CMP000017,Closed,,69,False
OPP000136,ACC000180,Northstar Solutions 91 - Lifecycle Redesign,2025-08-26,2025-11-25,Discovery,141153,0.25,35288.25,USR000014,Event,CMP000006,Pipeline,Legal review,14,False
OPP000137,ACC000215,Atlas Markets 26 - RevOps Retainer,2025-08-20,2025-11-14,Negotiation,76847,0.75,57635.25,USR000019,Partner,CMP000036,Commit,No next step logged,4,True
OPP000138,ACC000202,Clearpath Labs 59 - Lifecycle Redesign,2026-02-11,2026-06-03,Prospecting,60732,0.1,6073.2,USR000010,Webinar,CMP000026,Best Case,Send proposal,40,False
OPP000139,ACC000094,Evergreen Dynamics 90 - CRM Cleanup,2025-03-20,2025-04-18,Discovery,5541,0.25,1385.25,USR000009,LinkedIn,CMP000014,Commit,No next step logged,44,True
OPP000140,ACC000041,Keystone Solutions - Lead Routing,2026-06-04,2026-08-06,Demo,8110,0.4,3244.0,USR000010,LinkedIn,CMP000027,Best Case,Technical scoping,14,False
OPP000141,ACC000422,BluePeak Analytics 35 - HubSpot-SFDC Integration,2025-09-06,2026-02-26,Demo,304262,0.4,121704.8,USR000018,Paid Search,CMP000030,Pipeline,Send proposal,29,False
OPP000142,ACC000487,Bright Markets - Lead Routing,2026-02-15,2026-05-25,Prospecting,22301,0.1,2230.1,USR000014,Content Download,CMP000011,Best Case,Schedule discovery,13,False
OPP000143,ACC000367,Evergreen Ops - Reporting Build,2026-05-07,2026-10-04,Closed Lost,279050,0.0,0.0,USR000022,Content Download,CMP000031,Closed,,32,False
OPP000144,ACC000575,Meridian Ops 42 - RevOps Retainer,2026-01-22,2026-06-07,Closed Lost,164610,0.0,0.0,USR000027,Organic Search,CMP000017,Closed,,24,False
OPP000145,ACC000414,Evergreen Networks 99 - Reporting Build,2025-11-15,2026-04-27,Negotiation,58828,0.75,44121.0,USR000022,Outbound,CMP000005,Commit,Send proposal,39,False
OPP000146,ACC000440,Northstar Works - Reporting Build,2026-05-19,2026-07-27,Demo,13961,0.4,5584.4,USR000022,Paid Search,CMP000010,Commit,Send proposal,69,True
OPP000147,ACC000076,Nova Platform - CRM Cleanup,2025-03-17,2025-04-01,Discovery,17590,0.25,4397.5,USR000014,Direct,CMP000008,Best Case,Schedule discovery,7,False
OPP000148,ACC000382,Catalyst Works 16 - Reporting Build,2026-03-19,2026-07-18,Discovery,150123,0.25,37530.75,USR000005,Partner,,Best Case,No next step logged,22,True
OPP000149,ACC000480,BluePeak Cloud 17 - HubSpot-SFDC Integration,2026-01-28,2026-03-21,Prospecting,29834,0.1,2983.4,USR000009,Partner,CMP000032,Pipeline,No next step logged,36,True
