Company name,Company domain name,Industry,Segment,Region,Number of employees,Annual revenue,CRM Health Score,PE Backed,Salesforce Account ID
Atlas Group,atlasgroup.com,SaaS,SMB,Southeast,178,28876646,78,False,ACC000189
Vertex Platform 70,vertexplatform70.io,Manufacturing Tech,Mid-Market,Northeast,493,61048693,49,True,ACC000190
Pioneer Analytics,pioneeranalytics.co,SaaS,Mid-Market,Southeast,640,87394748,62,True,ACC000191
Nova Networks 81,novanetworks81.co,Ecommerce,Enterprise,West,1173,148157820,71,False,ACC000193
Keystone Platform 69,keystoneplatform69.com,EdTech,SMB,Central,40,5676099,70,True,ACC000194
Summit Software,summitsoftware.ai,Ecommerce,SMB,International,100,19341974,57,True,ACC000196
Cobalt Networks,cobaltnetworks.co,Logistics Tech,SMB,Northeast,243,53616824,77,False,ACC000198
Nova Cloud 58,novacloud58.com,Logistics Tech,Enterprise,Southeast,4123,650806243,74,True,ACC000199
Atlas Solutions,atlassolutions.net,SaaS,SMB,Central,227,40631137,65,False,ACC000200
Clearpath Data 6,clearpathdata6.com,Ecommerce,Mid-Market,Central,332,66945097,43,False,ACC000201
Clearpath Labs 59,clearpathlabs59.net,HR Tech,Mid-Market,Central,1043,129611744,78,False,ACC000202
Bright Data 15,brightdata15.ai,Healthcare Tech,Mid-Market,Northeast,565,56968815,57,False,ACC000203
BluePeak Networks,bluepeaknetworks.ai,Ecommerce,SMB,Central,101,15735023,86,False,ACC000205
Bright Group 10,brightgroup10.ai,Healthcare Tech,Mid-Market,Northeast,832,156625165,78,False,ACC000206
Meridian Works,meridianworks.ai,FinTech,Enterprise,Central,2678,494717740,54,True,ACC000207
Atlas Platform 18,atlasplatform18.net,Healthcare Tech,Mid-Market,Central,1003,185435723,50,False,ACC000208
Northstar Software 45,northstarsoftware4.co,HR Tech,Mid-Market,Mountain,758,86812664,47,True,ACC000210
Atlas Health 66,atlashealth66.net,Manufacturing Tech,SMB,West,231,34534261,93,False,ACC000211
Nova Cloud,novacloud.net,EdTech,SMB,Mountain,28,6001310,75,True,ACC000212
Catalyst Data,catalystdata.net,Cybersecurity,SMB,International,204,39944799,74,False,ACC000214
Nimbus Labs,nimbuslabs.co,Ecommerce,Mid-Market,Northeast,309,59604604,37,False,ACC000217
Cobalt Dynamics 59,cobaltdynamics59.ai,SaaS,SMB,Southeast,53,10123787,81,False,ACC000219
Meridian Intelligence,meridianintelligen.io,EdTech,SMB,West,140,33151257,54,False,ACC000220
Vertex Labs 38,vertexlabs38.co,FinTech,Mid-Market,International,445,102853430,82,False,ACC000222
Clearpath Systems,clearpathsystems.com,SaaS,Mid-Market,Central,234,42293882,65,False,ACC000223
Keystone Data,keystonedata.com,Healthcare Tech,Mid-Market,Southeast,662,146754592,70,False,ACC000225
Cobalt Intelligence,cobaltintelligence.com,Manufacturing Tech,Mid-Market,Northeast,412,47489863,68,False,ACC000228
Nimbus Systems 47,nimbussystems47.com,Ecommerce,Enterprise,Mountain,814,131464517,74,False,ACC000230
Summit Group,summitgroup.io,SaaS,Enterprise,Central,1738,398097905,77,False,ACC000231
Clearpath Labs 39,clearpathlabs39.io,SaaS,Enterprise,Mountain,698,126721947,77,True,ACC000233
Nova Works,novaworks.net,EdTech,SMB,Northeast,83,15949917,69,False,ACC000234
Signal Works 47,signalworks47.com,Ecommerce,Mid-Market,Central,440,56533143,58,False,ACC000235
Northstar Markets,northstarmarkets.co,Ecommerce,Mid-Market,Northeast,414,51423753,72,False,ACC000237
Cobalt Ops,cobaltops.com,EdTech,SMB,Northeast,135,27741380,68,True,ACC000238
Evergreen Works,evergreenworks.ai,Healthcare Tech,Mid-Market,West,627,96282582,64,True,ACC000239
Atlas Works,atlasworks.co,EdTech,Mid-Market,Mountain,1369,157711717,54,False,ACC000240
Meridian Intelligence 67,meridianintelligen.io,SaaS,Mid-Market,Mountain,296,53034749,52,False,ACC000242
Meridian Labs 79,meridianlabs79.io,Logistics Tech,SMB,Central,106,18736351,64,True,ACC000244
Apex Networks,apexnetworks.co,Manufacturing Tech,Enterprise,Southeast,1500,279037850,74,False,ACC000246
Nimbus Data 29,nimbusdata29.net,Cybersecurity,Mid-Market,International,134,18753338,77,False,ACC000247
Nova Intelligence 92,novaintelligence92.com,Manufacturing Tech,Enterprise,Northeast,2687,322816323,59,False,ACC000249
Evergreen Cloud 80,evergreencloud80.com,Healthcare Tech,SMB,Central,113,20483844,76,False,ACC000252
Ironwood Ops,ironwoodops.co,Healthcare Tech,Mid-Market,Mountain,261,26921213,53,False,ACC000253
BluePeak Labs,bluepeaklabs.com,Manufacturing Tech,Mid-Market,Mountain,1021,151778199,98,False,ACC000255
Vertex Works 80,vertexworks80.net,Healthcare Tech,SMB,Northeast,66,6166648,85,False,ACC000257
Northstar Group 74,northstargroup74.com,SaaS,SMB,West,92,19630231,74,False,ACC000258
Apex Markets,apexmarkets.net,Cybersecurity,Mid-Market,International,224,32509156,67,True,ACC000260
Meridian Works 60,meridianworks60.com,SaaS,SMB,Mountain,92,21608345,79,True,ACC000261
Catalyst Cloud 14,catalystcloud14.com,Cybersecurity,Mid-Market,Southeast,269,33119386,61,False,ACC000265
Keystone Dynamics,keystonedynamics.io,Ecommerce,Enterprise,Northeast,3236,487729157,81,True,ACC000266
Bright Labs 38,brightlabs38.co,Logistics Tech,SMB,Central,39,3580906,74,False,ACC000269
Apex Health,apexhealth.co,FinTech,SMB,Central,41,7663454,61,True,ACC000270
Pioneer Labs 53,pioneerlabs53.com,Manufacturing Tech,SMB,Mountain,134,28354787,54,False,ACC000271
Cobalt Platform 66,cobaltplatform66.co,Manufacturing Tech,Enterprise,Central,3745,582873554,56,True,ACC000272
Summit Cloud,summitcloud.com,EdTech,Enterprise,Central,3117,666320558,62,False,ACC000273
Evergreen Intelligence,evergreenintellige.io,HR Tech,Enterprise,Northeast,4088,408791031,93,False,ACC000274
BluePeak Data 21,bluepeakdata21.net,Manufacturing Tech,SMB,Mountain,42,5983130,58,False,ACC000276
Ironwood Systems 49,ironwoodsystems49.ai,Healthcare Tech,SMB,Southeast,155,28473427,61,False,ACC000278
Apex Data 42,apexdata42.co,FinTech,SMB,Southeast,102,10633678,59,False,ACC000281
BluePeak Markets 96,bluepeakmarkets96.com,FinTech,Mid-Market,Northeast,554,69861564,74,True,ACC000282
Evergreen Group,evergreengroup.co,Manufacturing Tech,Enterprise,Southeast,1025,227437556,87,False,ACC000283
Signal Markets 42,signalmarkets42.co,Ecommerce,Mid-Market,Northeast,481,49918484,62,False,ACC000286
Signal Software 70,signalsoftware70.ai,Manufacturing Tech,SMB,International,141,33666780,59,True,ACC000289
Vertex Health,vertexhealth.net,HR Tech,Enterprise,Mountain,980,197325163,87,False,ACC000290
Apex Networks 54,apexnetworks54.co,Logistics Tech,Enterprise,International,3149,603842236,83,False,ACC000292
Atlas Labs 13,atlaslabs13.net,HR Tech,Mid-Market,Northeast,344,64157643,58,True,ACC000293
Keystone Networks 6,keystonenetworks6.co,Logistics Tech,SMB,Mountain,72,10666874,66,False,ACC000294
Apex Works 74,apexworks74.net,Healthcare Tech,Mid-Market,Central,295,52214282,74,False,ACC000295
Vertex Data 36,vertexdata36.io,Healthcare Tech,SMB,Central,358,64555221,67,True,ACC000296
Northstar Systems 96,northstarsystems96.ai,Cybersecurity,Mid-Market,Northeast,518,104578388,60,True,ACC000297
Apex Solutions,apexsolutions.co,HR Tech,SMB,Southeast,115,18908870,56,True,ACC000300
Apex Solutions 85,apexsolutions85.ai,HR Tech,SMB,West,73,12832001,87,True,ACC000301
Catalyst Dynamics 19,catalystdynamics19.co,FinTech,Enterprise,Southeast,1449,230767627,53,False,ACC000303
Evergreen Markets 98,evergreenmarkets98.net,HR Tech,Enterprise,Mountain,3294,321086945,91,False,ACC000304
Nova Data,novadata.com,HR Tech,Mid-Market,International,388,59881216,75,True,ACC000307
BluePeak Data 9,bluepeakdata9.co,FinTech,SMB,Northeast,160,22702090,98,False,ACC000308
Evergreen Data 88,evergreendata88.ai,SaaS,SMB,Southeast,103,17924598,73,False,ACC000309
Cobalt Labs 56,cobaltlabs56.ai,Healthcare Tech,Enterprise,Northeast,2692,441951480,89,True,ACC000310
Cobalt Markets,cobaltmarkets.com,Cybersecurity,Mid-Market,Southeast,474,75645599,53,False,ACC000311
Pioneer Health 24,pioneerhealth24.net,EdTech,Enterprise,Northeast,1524,261185970,52,False,ACC000313
Apex Works 61,apexworks61.net,EdTech,Mid-Market,Northeast,385,62641210,60,True,ACC000314
Bright Ops,brightops.net,SaaS,Mid-Market,Mountain,408,86071901,61,True,ACC000316
Cobalt Health,cobalthealth.net,SaaS,Mid-Market,Southeast,282,32347078,60,False,ACC000317
Bright Platform 58,brightplatform58.io,Manufacturing Tech,Mid-Market,Mountain,236,30284464,78,False,ACC000318
Vertex Works,vertexworks.io,Ecommerce,Mid-Market,Northeast,1102,114743310,98,False,ACC000319
Atlas Cloud 86,atlascloud86.net,HR Tech,Mid-Market,Southeast,475,101324850,61,False,ACC000320
Keystone Cloud,keystonecloud.co,HR Tech,Enterprise,Central,3470,816016934,63,True,ACC000325
Cobalt Software 99,cobaltsoftware99.net,Manufacturing Tech,Enterprise,Mountain,1039,95474881,68,False,ACC000327
Atlas Systems 29,atlassystems29.io,Healthcare Tech,Mid-Market,International,259,56650178,80,False,ACC000328
Catalyst Software,catalystsoftware.co,HR Tech,SMB,Northeast,185,29394609,70,True,ACC000329
Bright Dynamics 96,brightdynamics96.io,SaaS,Mid-Market,Central,1175,235834682,49,False,ACC000332
Cobalt Labs,cobaltlabs.com,EdTech,SMB,Mountain,158,36457824,53,True,ACC000336
Vertex Systems 29,vertexsystems29.net,Logistics Tech,Enterprise,Central,3205,288540573,76,False,ACC000337
Apex Systems 70,apexsystems70.net,EdTech,SMB,West,53,8051450,67,True,ACC000338
BluePeak Solutions,bluepeaksolutions.net,Cybersecurity,Mid-Market,West,499,117722307,62,False,ACC000339
Summit Health 69,summithealth69.io,HR Tech,Enterprise,Mountain,1194,256004584,87,False,ACC000340
Atlas Analytics 85,atlasanalytics85.com,Healthcare Tech,Mid-Market,Southeast,636,64322579,64,True,ACC000342
Bright Systems 91,brightsystems91.io,Healthcare Tech,Mid-Market,Southeast,510,91281450,84,False,ACC000343
BluePeak Labs 31,bluepeaklabs31.io,Logistics Tech,Mid-Market,Central,305,47085103,83,False,ACC000344
Evergreen Labs 24,evergreenlabs24.ai,SaaS,Enterprise,Mountain,1334,286417840,72,True,ACC000345
Vertex Platform,vertexplatform.com,Cybersecurity,Enterprise,Mountain,3416,757828788,79,True,ACC000346
Catalyst Platform,catalystplatform.net,Ecommerce,Mid-Market,Southeast,217,30623551,70,False,ACC000347
BluePeak Intelligence 8,bluepeakintelligen.com,EdTech,Mid-Market,Mountain,789,154166707,96,False,ACC000348
Nova Systems 83,novasystems83.ai,Logistics Tech,SMB,Southeast,134,31572400,62,True,ACC000349
Keystone Networks 89,keystonenetworks89.net,EdTech,Mid-Market,West,664,60050934,68,False,ACC000350
Cobalt Analytics 36,cobaltanalytics36.io,EdTech,SMB,International,71,16736823,62,False,ACC000351
Pioneer Solutions,pioneersolutions.com,FinTech,Enterprise,West,1530,243924523,82,False,ACC000353
Evergreen Ops 15,evergreenops15.com,Healthcare Tech,SMB,Central,82,8451241,81,False,ACC000354
Evergreen Dynamics 75,evergreendynamics7.net,FinTech,Mid-Market,International,910,202328292,62,False,ACC000356
Nimbus Works 36,nimbusworks36.co,FinTech,Mid-Market,West,669,156050322,64,False,ACC000357
Clearpath Health 19,clearpathhealth19.ai,SaaS,Mid-Market,Southeast,557,57840394,87,False,ACC000359
Clearpath Group 57,clearpathgroup57.net,FinTech,Enterprise,Central,795,160969703,59,False,ACC000360
Signal Markets,signalmarkets.ai,FinTech,Mid-Market,Southeast,458,75717953,84,False,ACC000361
Atlas Markets,atlasmarkets.net,HR Tech,Mid-Market,Central,497,53717629,80,False,ACC000362
Nimbus Platform,nimbusplatform.ai,Healthcare Tech,SMB,Northeast,88,11814537,69,False,ACC000363
Evergreen Systems 95,evergreensystems95.co,HR Tech,Enterprise,Southeast,1815,385702891,51,False,ACC000364
Evergreen Ops,evergreenops.net,SaaS,Enterprise,Central,1914,323220797,67,True,ACC000367
Summit Dynamics 86,summitdynamics86.ai,FinTech,Mid-Market,International,370,62006785,78,False,ACC000368
Bright Platform,brightplatform.ai,EdTech,SMB,West,82,11207975,62,False,ACC000369
Catalyst Dynamics 59,catalystdynamics59.ai,EdTech,SMB,Southeast,254,28215068,65,True,ACC000370
BluePeak Cloud,bluepeakcloud.ai,SaaS,Enterprise,Southeast,1082,113496747,73,False,ACC000371
Apex Group,apexgroup.com,FinTech,Enterprise,International,6000,691503260,46,False,ACC000375
Evergreen Networks 44,evergreennetworks4.net,EdTech,Mid-Market,Southeast,224,26699360,59,False,ACC000376
Northstar Ops 52,northstarops52.com,HR Tech,SMB,Southeast,93,13214514,78,True,ACC000377
Keystone Platform,keystoneplatform.com,HR Tech,Enterprise,Mountain,2827,565927768,62,True,ACC000378
BluePeak Group 78,bluepeakgroup78.co,EdTech,Mid-Market,Northeast,463,78713701,78,True,ACC000380
Clearpath Networks 88,clearpathnetworks8.ai,Healthcare Tech,Mid-Market,International,277,53215407,73,True,ACC000381
Catalyst Works 16,catalystworks16.io,Ecommerce,Enterprise,International,2018,209974641,81,False,ACC000382
BluePeak Platform,bluepeakplatform.co,FinTech,Mid-Market,Northeast,181,21807506,60,False,ACC000383
Ironwood Networks 73,ironwoodnetworks73.io,Logistics Tech,Mid-Market,Central,1796,394826483,68,False,ACC000384
Clearpath Labs 47,clearpathlabs47.com,Logistics Tech,Mid-Market,Mountain,929,196008224,95,True,ACC000385
Apex Dynamics,apexdynamics.ai,SaaS,Enterprise,Central,2769,509465199,30,False,ACC000387
Northstar Data 74,northstardata74.co,Manufacturing Tech,Mid-Market,Northeast,421,77835160,87,False,ACC000388
Evergreen Intelligence 71,evergreenintellige.com,Logistics Tech,Enterprise,Northeast,1221,285246604,62,True,ACC000389
Catalyst Works 6,catalystworks6.co,Cybersecurity,Enterprise,Central,1866,345090481,67,True,ACC000390
Catalyst Software 96,catalystsoftware96.net,Ecommerce,Mid-Market,International,591,121106177,88,False,ACC000391
Vertex Software 28,vertexsoftware28.com,Ecommerce,SMB,Northeast,57,8614492,71,True,ACC000392
Keystone Labs 37,keystonelabs37.io,FinTech,Mid-Market,Mountain,312,51509215,68,True,ACC000394
Meridian Markets 20,meridianmarkets20.net,Cybersecurity,SMB,International,51,6739684,61,True,ACC000395
Meridian Data,meridiandata.com,Healthcare Tech,SMB,Southeast,169,29126654,75,True,ACC000396
Clearpath Markets 43,clearpathmarkets43.net,SaaS,SMB,International,203,23989814,65,False,ACC000397
Cobalt Platform 29,cobaltplatform29.co,HR Tech,Mid-Market,Southeast,1086,109432278,89,False,ACC000398
Nova Cloud 74,novacloud74.co,Ecommerce,Mid-Market,International,264,35242816,57,False,ACC000399
Nimbus Analytics 49,nimbusanalytics49.io,SaaS,Mid-Market,Southeast,656,116433425,74,True,ACC000402
Keystone Analytics 92,keystoneanalytics9.com,SaaS,Mid-Market,Mountain,280,40329824,67,False,ACC000403
Apex Group 17,apexgroup17.co,FinTech,Enterprise,Southeast,1323,127462797,76,False,ACC000405
Cobalt Health 15,cobalthealth15.ai,Ecommerce,Enterprise,Central,1257,161065327,77,False,ACC000406
Atlas Software 68,atlassoftware68.net,Manufacturing Tech,Mid-Market,Mountain,347,66510177,77,False,ACC000411
Bright Dynamics 65,brightdynamics65.co,Healthcare Tech,Enterprise,Mountain,2452,579134868,63,False,ACC000412
Evergreen Networks 99,evergreennetworks9.co,Healthcare Tech,Enterprise,West,2267,237989712,92,True,ACC000414
Nimbus Software 7,nimbussoftware7.com,EdTech,Enterprise,Northeast,2635,612181364,83,False,ACC000415
Keystone Platform 12,keystoneplatform12.net,Manufacturing Tech,SMB,Northeast,339,31014626,82,False,ACC000416
Nimbus Analytics,nimbusanalytics.ai,Healthcare Tech,SMB,Northeast,195,30856377,64,False,ACC000417
