Deal name,Amount,Deal stage,Close date,Create date,Lead Source,Primary Campaign ID,Expected Revenue,Salesforce Account ID,Salesforce Opportunity ID
BluePeak Systems - RevOps Retainer,68190,Discovery,2025-09-29,2025-07-12,Webinar,CMP000005,17047.5,ACC000229,OPP001380
Summit Dynamics - CRM Cleanup,80411,Closed Lost,2026-05-15,2026-01-11,Referral,CMP000016,0.0,ACC000022,OPP000251
Apex Group - CRM Cleanup,369095,Closed Won,2026-09-11,2026-04-05,Outbound,CMP000028,369095.0,ACC000375,OPP000694
Bright Networks - Lead Routing,15308,Closed Lost,2025-05-07,2025-03-01,Paid Search,,0.0,ACC000115,OPP001084
Summit Solutions - Lead Routing,29141,Closed Won,2025-08-03,2025-05-16,Direct,CMP000010,29141.0,ACC000005,OPP000507
Ironwood Cloud - HubSpot-SFDC Integration,86339,Prospecting,2025-04-30,2025-04-15,Webinar,CMP000035,8633.9,ACC000128,OPP000373
Signal Health 89 - Lifecycle Redesign,59025,Closed Lost,2026-04-18,2025-12-17,Paid Search,CMP000035,0.0,ACC000508,OPP001452
Atlas Ops - HubSpot-SFDC Integration,67582,Proposal,2026-10-11,2026-05-11,Outbound,,40549.2,ACC000143,OPP000745
Ironwood Platform 56 - HubSpot-SFDC Integration,38804,Discovery,2026-06-27,2026-03-21,Organic Search,CMP000017,9701.0,ACC000168,OPP000754
Northstar Health - Lifecycle Redesign,82527,Demo,2026-08-14,2026-02-28,Content Download,CMP000008,33010.8,ACC000532,OPP001591
Apex Dynamics - Reporting Build,471164,Negotiation,2026-07-12,2026-03-20,Direct,CMP000028,353373.0,ACC000387,OPP000189
Bright Networks 83 - Lifecycle Redesign,8657,Discovery,2026-04-03,2026-01-12,Event,CMP000012,2164.25,ACC000620,OPP000690
Nova Analytics - CRM Cleanup,116653,Proposal,2025-10-20,2025-05-12,Outbound,CMP000013,69991.8,ACC000063,OPP000199
Cobalt Group - Lifecycle Redesign,68247,Discovery,2025-04-14,2025-03-03,Partner,CMP000012,17061.75,ACC000355,OPP000166
Nimbus Health 75 - Lead Routing,61909,Discovery,2025-12-23,2025-09-14,Outbound,CMP000008,15477.25,ACC000424,OPP000070
Keystone Dynamics 63 - Lifecycle Redesign,71600,Negotiation,2026-02-03,2025-12-05,LinkedIn,CMP000008,53700.0,ACC000537,OPP001568
Evergreen Works - Reporting Build,44070,Discovery,2026-06-01,2026-02-12,LinkedIn,CMP000019,11017.5,ACC000239,OPP000368
Northstar Markets - Lead Routing,20092,Demo,2025-05-05,2025-02-20,Content Download,,8036.8,ACC000237,OPP001013
Atlas Group - Lead Routing,10595,Closed Lost,2025-09-03,2025-06-29,Webinar,CMP000032,0.0,ACC000189,OPP001420
Signal Group - HubSpot-SFDC Integration,227688,Proposal,2026-01-24,2025-09-05,Webinar,CMP000003,136612.8,ACC000033,OPP000818
Atlas Data 24 - Lifecycle Redesign,14816,Negotiation,2025-03-10,2025-01-27,Webinar,,11112.0,ACC000561,OPP001253
Nimbus Ops 79 - Reporting Build,66612,Prospecting,2025-11-28,2025-10-09,Paid Search,CMP000017,6661.2,ACC000489,OPP000767
Northstar Markets 65 - Lead Routing,112279,Closed Won,2025-08-27,2025-04-09,Event,CMP000012,112279.0,ACC000538,OPP001349
Vertex Solutions 20 - Lead Routing,47791,Closed Lost,2025-11-23,2025-09-13,Event,CMP000015,0.0,ACC000111,OPP000332
Pioneer Health 24 - CRM Cleanup,80116,Proposal,2026-01-24,2025-10-31,Organic Search,CMP000013,48069.6,ACC000313,OPP001255
Nimbus Dynamics 49 - RevOps Retainer,234444,Closed Won,2026-05-27,2026-02-03,Direct,CMP000031,234444.0,ACC000619,OPP000930
Evergreen Systems 95 - CRM Cleanup,138812,Discovery,2025-06-13,2025-01-19,Partner,CMP000022,34703.0,ACC000364,OPP000029
Vertex Systems 29 - RevOps Retainer,224482,Prospecting,2025-10-12,2025-06-14,Paid Search,CMP000003,22448.2,ACC000337,OPP000486
Apex Group 61 - Lifecycle Redesign,199504,Demo,2025-05-15,2025-02-06,Paid Search,CMP000009,79801.6,ACC000563,OPP001059
Clearpath Intelligence 94 - HubSpot-SFDC Integration,38603,Demo,2025-09-14,2025-04-29,Referral,CMP000028,15441.2,ACC000408,OPP001626
Signal Solutions - Lifecycle Redesign,42581,Negotiation,2026-04-19,2026-01-11,LinkedIn,,31935.75,ACC000055,OPP001548
BluePeak Works - Lead Routing,10384,Closed Lost,2026-04-11,2026-03-24,Content Download,CMP000026,0.0,ACC000099,OPP001296
Cobalt Cloud 5 - CRM Cleanup,49172,Prospecting,2025-09-12,2025-07-25,Organic Search,,4917.2,ACC000573,OPP000228
Apex Ops 16 - HubSpot-SFDC Integration,8116,Proposal,2026-05-12,2026-03-16,Event,CMP000018,4869.6,ACC000483,OPP000715
Vertex Networks 19 - Lifecycle Redesign,15675,Prospecting,2025-02-28,2025-02-13,Outbound,CMP000026,1567.5,ACC000602,OPP000106
Keystone Intelligence - Lead Routing,9549,Discovery,2026-06-30,2026-05-10,Event,CMP000003,2387.25,ACC000020,OPP000134
Catalyst Group 20 - Lifecycle Redesign,170136,Closed Won,2026-02-09,2025-10-19,Content Download,CMP000036,170136.0,ACC000163,OPP000457
Evergreen Works - Lifecycle Redesign,113638,Negotiation,2026-07-26,2026-04-27,Paid Search,CMP000009,85228.5,ACC000239,OPP000595
Cobalt Dynamics 47 - RevOps Retainer,47353,Prospecting,2025-07-14,2025-03-21,Webinar,,4735.3,ACC000506,OPP001523
Bright Dynamics 96 - Reporting Build,24718,Closed Lost,2025-12-10,2025-10-27,Content Download,CMP000005,0.0,ACC000332,OPP000517
Meridian Markets 2 - Reporting Build,211773,Prospecting,2025-04-30,2025-01-27,Referral,CMP000019,21177.3,ACC000074,OPP001177
Northstar Ops 94 - CRM Cleanup,17601,Discovery,2026-06-09,2026-02-12,LinkedIn,CMP000018,4400.25,ACC000446,OPP000903
Clearpath Networks 88 - Lead Routing,41795,Closed Lost,2026-05-17,2026-03-14,Direct,CMP000033,0.0,ACC000381,OPP000522
Northstar Health - Lead Routing,231682,Closed Won,2026-01-12,2025-08-15,Webinar,CMP000028,231682.0,ACC000532,OPP001258
Nimbus Intelligence - RevOps Retainer,26094,Discovery,2026-07-27,2026-05-21,Event,CMP000020,6523.5,ACC000083,OPP001054
Vertex Platform - Lifecycle Redesign,142608,Closed Won,2026-04-04,2025-12-26,Paid Search,CMP000018,142608.0,ACC000346,OPP000363
Evergreen Systems - HubSpot-SFDC Integration,416730,Proposal,2026-10-28,2026-05-25,Content Download,CMP000011,250038.0,ACC000025,OPP001625
Catalyst Works 16 - Lifecycle Redesign,100175,Closed Lost,2026-09-01,2026-03-30,Outbound,CMP000014,0.0,ACC000382,OPP001650
Vertex Analytics 84 - Reporting Build,26784,Proposal,2025-06-25,2025-04-23,Webinar,CMP000034,16070.4,ACC000209,OPP000097
Clearpath Intelligence 94 - Reporting Build,144864,Negotiation,2026-10-09,2026-06-07,Event,CMP000009,108648.0,ACC000408,OPP000520
Summit Networks 59 - Reporting Build,60236,Proposal,2025-09-29,2025-08-23,Paid Search,CMP000024,36141.6,ACC000438,OPP000701
Nimbus Health 75 - Reporting Build,47499,Discovery,2025-08-14,2025-06-20,Webinar,CMP000018,11874.75,ACC000424,OPP000023
Bright Markets 38 - RevOps Retainer,154421,Discovery,2025-08-05,2025-03-21,Paid Search,CMP000005,38605.25,ACC000146,OPP001460
Catalyst Data 39 - HubSpot-SFDC Integration,150260,Negotiation,2025-08-03,2025-04-11,Referral,,112695.0,ACC000528,OPP000293
Northstar Intelligence - Reporting Build,28928,Closed Lost,2026-05-01,2026-02-10,LinkedIn,CMP000020,0.0,ACC000461,OPP000857
Bright Markets 38 - CRM Cleanup,92609,Discovery,2025-08-04,2025-04-12,Direct,CMP000015,23152.25,ACC000146,OPP001557
Meridian Labs - CRM Cleanup,12834,Demo,2025-11-19,2025-11-04,Direct,CMP000004,5133.6,ACC000275,OPP000553
Catalyst Intelligence 41 - Reporting Build,40939,Prospecting,2025-03-21,2025-01-30,Direct,CMP000018,4093.9,ACC000515,OPP001542
Nimbus Analytics 95 - CRM Cleanup,31552,Discovery,2026-08-29,2026-05-10,Outbound,CMP000033,7888.0,ACC000589,OPP000540
Evergreen Data - Lead Routing,16441,Closed Won,2025-10-24,2025-08-30,Organic Search,CMP000018,16441.0,ACC000073,OPP001397
Atlas Intelligence 88 - CRM Cleanup,9347,Prospecting,2025-10-14,2025-07-18,Direct,CMP000026,934.7,ACC000529,OPP001083
Catalyst Health 65 - Reporting Build,77942,Proposal,2025-10-19,2025-06-18,LinkedIn,CMP000012,46765.2,ACC000463,OPP000688
Summit Solutions - Reporting Build,23021,Demo,2025-07-18,2025-06-06,Event,CMP000001,9208.4,ACC000005,OPP001082
Meridian Ops 42 - Lead Routing,187763,Closed Lost,2026-03-15,2025-10-05,Webinar,CMP000019,0.0,ACC000575,OPP000025
Clearpath Labs 59 - RevOps Retainer,22227,Prospecting,2025-08-25,2025-05-17,Content Download,CMP000016,2222.7,ACC000202,OPP000730
Summit Group - HubSpot-SFDC Integration,282144,Demo,2025-08-16,2025-04-10,Organic Search,CMP000004,112857.6,ACC000231,OPP000307
Keystone Platform 46 - Lead Routing,39804,Closed Won,2026-04-12,2026-03-13,Organic Search,CMP000012,39804.0,ACC000498,OPP000867
Atlas Health 62 - CRM Cleanup,90492,Discovery,2026-07-28,2026-06-10,Outbound,CMP000018,22623.0,ACC000505,OPP000005
Northstar Solutions 23 - Lifecycle Redesign,99774,Negotiation,2025-03-11,2025-01-06,Webinar,CMP000024,74830.5,ACC000605,OPP001063
Pioneer Software - Lifecycle Redesign,334672,Demo,2026-07-26,2026-03-25,Event,CMP000002,133868.8,ACC000159,OPP001081
Cobalt Markets - Reporting Build,141229,Closed Won,2025-06-14,2025-03-13,Outbound,CMP000020,141229.0,ACC000311,OPP000524
Pioneer Labs 30 - RevOps Retainer,29191,Discovery,2025-09-06,2025-07-12,Organic Search,CMP000033,7297.75,ACC000543,OPP001096
Summit Markets 80 - Lifecycle Redesign,25218,Proposal,2025-06-15,2025-04-27,Event,CMP000013,15130.8,ACC000158,OPP000178
Signal Markets - CRM Cleanup,86754,Closed Lost,2026-05-15,2026-02-28,Event,CMP000006,0.0,ACC000361,OPP000256
Summit Health 69 - RevOps Retainer,75481,Negotiation,2025-06-19,2025-02-17,Referral,CMP000002,56610.75,ACC000340,OPP000991
Cobalt Platform 66 - HubSpot-SFDC Integration,36698,Closed Lost,2026-04-26,2026-01-04,Referral,CMP000003,0.0,ACC000272,OPP000997
Keystone Systems 68 - RevOps Retainer,200762,Demo,2026-04-10,2026-01-07,Partner,CMP000027,80304.8,ACC000555,OPP001373
Evergreen Health - CRM Cleanup,49115,Discovery,2025-06-27,2025-06-07,Direct,CMP000023,12278.75,ACC000264,OPP001517
Cobalt Platform 66 - HubSpot-SFDC Integration,83019,Prospecting,2025-12-12,2025-07-09,Partner,CMP000026,8301.9,ACC000272,OPP000175
Ironwood Ops - CRM Cleanup,51569,Closed Won,2026-01-09,2025-10-06,Direct,CMP000030,51569.0,ACC000253,OPP000234
Nova Analytics - Reporting Build,94612,Proposal,2026-04-27,2025-10-19,Organic Search,CMP000014,56767.2,ACC000063,OPP001168
Ironwood Cloud - Reporting Build,22626,Discovery,2025-04-23,2025-02-06,Partner,CMP000006,5656.5,ACC000128,OPP000242
Meridian Works - Lead Routing,102160,Closed Lost,2025-04-29,2025-01-07,Content Download,CMP000009,0.0,ACC000207,OPP001549
Pioneer Networks - CRM Cleanup,8331,Demo,2025-04-26,2025-03-01,Organic Search,CMP000028,3332.4,ACC000100,OPP000735
Meridian Networks - Lifecycle Redesign,38339,Proposal,2025-12-13,2025-10-14,Partner,CMP000002,23003.4,ACC000323,OPP001612
Meridian Software - Lifecycle Redesign,224001,Proposal,2026-03-12,2025-11-07,Outbound,CMP000012,134400.6,ACC000643,OPP001068
Summit Cloud - CRM Cleanup,71423,Prospecting,2026-06-21,2026-01-25,Outbound,CMP000004,7142.3,ACC000273,OPP001401
Northstar Cloud - HubSpot-SFDC Integration,149389,Proposal,2025-12-12,2025-06-21,Partner,CMP000007,89633.4,ACC000181,OPP001183
Ironwood Ops - Lifecycle Redesign,33032,Proposal,2026-08-09,2026-05-01,Direct,,19819.2,ACC000253,OPP001138
Bright Dynamics 65 - Lead Routing,56977,Negotiation,2026-10-28,2026-05-05,Direct,CMP000019,42732.75,ACC000412,OPP001418
Vertex Systems 29 - HubSpot-SFDC Integration,141492,Negotiation,2026-03-22,2025-09-15,Outbound,CMP000011,106119.0,ACC000337,OPP000246
Northstar Markets - Lifecycle Redesign,94558,Demo,2025-04-06,2025-01-13,Outbound,CMP000022,37823.2,ACC000237,OPP000452
Signal Markets 42 - CRM Cleanup,15889,Proposal,2025-12-06,2025-09-04,Outbound,CMP000009,9533.4,ACC000286,OPP001456
Summit Software - RevOps Retainer,8100,Demo,2025-04-30,2025-04-15,Partner,CMP000011,3240.0,ACC000196,OPP000209
Cobalt Dynamics 47 - Reporting Build,144194,Closed Won,2025-11-22,2025-07-29,Content Download,CMP000033,144194.0,ACC000506,OPP000446
Meridian Ops 42 - RevOps Retainer,164610,Closed Lost,2026-06-07,2026-01-22,Organic Search,CMP000017,0.0,ACC000575,OPP000144
Keystone Health - HubSpot-SFDC Integration,30270,Prospecting,2026-06-22,2026-04-23,Paid Search,CMP000018,3027.0,ACC000173,OPP000451
Vertex Systems 24 - Lifecycle Redesign,14647,Closed Won,2025-05-14,2025-03-30,Content Download,CMP000032,14647.0,ACC000491,OPP000054
Apex Group - RevOps Retainer,84866,Discovery,2025-06-06,2025-02-04,Paid Search,CMP000029,21216.5,ACC000375,OPP001272
Nova Networks 81 - HubSpot-SFDC Integration,97477,Closed Lost,2026-03-13,2025-11-17,Organic Search,CMP000025,0.0,ACC000193,OPP001037
Summit Ops 58 - Lead Routing,61932,Negotiation,2026-05-29,2026-02-12,Paid Search,CMP000031,46449.0,ACC000521,OPP001624
BluePeak Cloud 83 - Lead Routing,52877,Prospecting,2026-04-15,2026-01-08,Organic Search,,5287.7,ACC000435,OPP000412
Pioneer Systems 72 - RevOps Retainer,93659,Prospecting,2026-07-11,2026-05-20,Partner,,9365.9,ACC000579,OPP001152
Vertex Dynamics 65 - Lifecycle Redesign,82848,Closed Lost,2026-01-13,2025-07-31,Outbound,CMP000013,0.0,ACC000251,OPP000193
Northstar Data 7 - Reporting Build,28281,Proposal,2026-08-07,2026-06-08,Content Download,CMP000013,16968.6,ACC000476,OPP000633
Cobalt Platform 66 - HubSpot-SFDC Integration,163106,Discovery,2026-10-28,2026-06-01,Event,CMP000005,40776.5,ACC000272,OPP000951
Evergreen Networks 99 - Reporting Build,148396,Proposal,2025-11-22,2025-08-15,Referral,CMP000010,89037.6,ACC000414,OPP001003
Pioneer Works 29 - Reporting Build,16622,Demo,2026-04-28,2026-02-04,Direct,CMP000002,6648.8,ACC000567,OPP001445
Evergreen Cloud 80 - CRM Cleanup,11871,Demo,2025-11-18,2025-10-01,Referral,CMP000021,4748.4,ACC000252,OPP000305
Evergreen Analytics 41 - Lifecycle Redesign,196935,Closed Lost,2026-07-18,2026-03-15,Organic Search,CMP000025,0.0,ACC000580,OPP001104
Meridian Ops - CRM Cleanup,79753,Closed Won,2025-11-29,2025-07-09,Content Download,,79753.0,ACC000216,OPP000270
BluePeak Labs - HubSpot-SFDC Integration,158403,Closed Lost,2026-03-30,2026-01-01,Partner,CMP000022,0.0,ACC000255,OPP001207
Northstar Software 45 - CRM Cleanup,101376,Negotiation,2025-06-18,2025-04-02,Direct,CMP000014,76032.0,ACC000210,OPP001120
Cobalt Dynamics - Lead Routing,81331,Negotiation,2026-08-14,2026-02-11,Organic Search,CMP000018,60998.25,ACC000606,OPP000668
Clearpath Cloud - Reporting Build,42435,Demo,2025-11-17,2025-09-07,Content Download,CMP000035,16974.0,ACC000445,OPP000766
Ironwood Health 54 - HubSpot-SFDC Integration,59660,Prospecting,2026-05-26,2026-03-28,Paid Search,CMP000007,5966.0,ACC000535,OPP000521
Cobalt Dynamics - Reporting Build,147079,Closed Won,2026-02-26,2025-11-06,Referral,CMP000030,147079.0,ACC000606,OPP000083
BluePeak Health - CRM Cleanup,23523,Demo,2026-03-05,2026-01-04,Event,CMP000004,9409.2,ACC000007,OPP000049
Catalyst Intelligence - CRM Cleanup,283042,Closed Lost,2026-04-25,2025-11-03,Referral,CMP000010,0.0,ACC000464,OPP000058
Keystone Cloud - CRM Cleanup,144645,Prospecting,2026-06-17,2026-01-05,LinkedIn,CMP000024,14464.5,ACC000325,OPP000655
Summit Markets 10 - CRM Cleanup,118681,Proposal,2025-12-08,2025-08-21,Content Download,CMP000030,71208.6,ACC000500,OPP000312
Keystone Dynamics - Reporting Build,458048,Prospecting,2025-12-23,2025-07-13,Organic Search,CMP000016,45804.8,ACC000266,OPP000374
BluePeak Cloud 83 - RevOps Retainer,23466,Demo,2025-12-13,2025-08-26,Direct,CMP000036,9386.4,ACC000435,OPP000111
Vertex Dynamics 39 - RevOps Retainer,158283,Closed Lost,2026-03-24,2025-12-29,Direct,CMP000013,0.0,ACC000436,OPP001121
Summit Ops - Reporting Build,226323,Proposal,2026-07-19,2026-01-16,LinkedIn,CMP000025,135793.8,ACC000105,OPP000666
Evergreen Group 93 - RevOps Retainer,164899,Demo,2025-05-12,2025-01-11,Webinar,CMP000032,65959.6,ACC000552,OPP001369
Vertex Networks 66 - RevOps Retainer,32132,Negotiation,2026-04-09,2025-12-31,Organic Search,CMP000010,24099.0,ACC000553,OPP001224
Vertex Systems - Lead Routing,209721,Proposal,2026-05-20,2025-12-03,Event,CMP000006,125832.6,ACC000064,OPP000536
Keystone Health - CRM Cleanup,117676,Discovery,2026-04-04,2025-11-08,LinkedIn,CMP000019,29419.0,ACC000173,OPP001563
Vertex Dynamics 39 - RevOps Retainer,184971,Proposal,2025-08-08,2025-03-24,Referral,CMP000019,110982.6,ACC000436,OPP000159
Catalyst Data 39 - RevOps Retainer,44729,Negotiation,2026-08-30,2026-04-01,Content Download,CMP000027,33546.75,ACC000528,OPP000963
Nova Cloud 58 - Lead Routing,217374,Demo,2025-11-03,2025-05-12,Webinar,CMP000007,86949.6,ACC000199,OPP000722
Bright Cloud 66 - Lifecycle Redesign,49440,Closed Won,2026-01-21,2025-09-19,Event,CMP000012,49440.0,ACC000131,OPP000576
BluePeak Group 91 - HubSpot-SFDC Integration,9610,Negotiation,2026-01-28,2025-10-30,Referral,CMP000015,7207.5,ACC000322,OPP000401
Summit Systems - RevOps Retainer,25828,Proposal,2026-09-17,2026-05-05,Paid Search,CMP000024,15496.8,ACC000084,OPP000542
Nimbus Analytics 95 - Lead Routing,184223,Prospecting,2025-06-23,2025-02-14,Direct,CMP000014,18422.3,ACC000589,OPP000599
Catalyst Solutions 58 - RevOps Retainer,100999,Prospecting,2025-10-28,2025-08-22,Event,CMP000002,10099.9,ACC000070,OPP000654
Vertex Platform - Reporting Build,230892,Prospecting,2026-02-24,2025-10-04,Referral,CMP000033,23089.2,ACC000346,OPP000833
Evergreen Markets 75 - RevOps Retainer,228782,Discovery,2025-08-23,2025-05-24,Direct,,57195.5,ACC000479,OPP001521
Meridian Data 49 - Lead Routing,72522,Prospecting,2025-10-12,2025-06-16,Event,CMP000026,7252.2,ACC000157,OPP000479
Evergreen Cloud - RevOps Retainer,38879,Discovery,2026-07-10,2026-04-14,Webinar,CMP000028,9719.75,ACC000044,OPP000007
Atlas Cloud 86 - HubSpot-SFDC Integration,239370,Closed Won,2025-05-08,2025-04-23,Partner,CMP000034,239370.0,ACC000320,OPP001399
Northstar Ops - RevOps Retainer,81255,Negotiation,2026-07-04,2026-04-03,Outbound,CMP000035,60941.25,ACC000003,OPP001226
Vertex Platform - CRM Cleanup,83597,Demo,2026-08-29,2026-04-11,Organic Search,CMP000025,33438.8,ACC000346,OPP001147
Vertex Health - RevOps Retainer,94234,Closed Won,2026-05-29,2026-02-13,Event,CMP000026,94234.0,ACC000290,OPP001217
Ironwood Platform 46 - Lifecycle Redesign,50864,Discovery,2026-09-23,2026-06-08,Referral,CMP000013,12716.0,ACC000610,OPP000725
Cobalt Cloud 80 - Lifecycle Redesign,8639,Demo,2026-05-15,2026-03-27,Webinar,CMP000030,3455.6,ACC000512,OPP001544
Vertex Health 82 - HubSpot-SFDC Integration,90250,Closed Lost,2025-09-24,2025-07-09,Organic Search,,0.0,ACC000147,OPP001000
Clearpath Cloud - RevOps Retainer,218415,Closed Won,2025-03-31,2025-01-23,Outbound,CMP000012,218415.0,ACC000445,OPP000984
Nimbus Markets 25 - HubSpot-SFDC Integration,230708,Discovery,2026-05-01,2025-11-17,Partner,CMP000030,57677.0,ACC000635,OPP001290
Cobalt Labs 56 - Reporting Build,53377,Closed Lost,2025-12-04,2025-08-17,Outbound,CMP000029,0.0,ACC000310,OPP000615
Evergreen Ops 30 - CRM Cleanup,122413,Closed Won,2026-01-30,2025-09-18,Content Download,CMP000028,122413.0,ACC000426,OPP001583
Summit Health 69 - Lifecycle Redesign,252971,Demo,2026-03-11,2025-11-24,Paid Search,CMP000034,101188.4,ACC000340,OPP000481
Cobalt Health - CRM Cleanup,40084,Closed Won,2025-09-14,2025-08-15,Webinar,CMP000009,40084.0,ACC000317,OPP000405
Cobalt Cloud 5 - HubSpot-SFDC Integration,57845,Prospecting,2026-06-10,2026-03-17,LinkedIn,CMP000031,5784.5,ACC000573,OPP001308
Nimbus Software - CRM Cleanup,18104,Prospecting,2025-11-18,2025-07-11,Paid Search,CMP000021,1810.4,ACC000259,OPP000585
Evergreen Solutions - Lifecycle Redesign,54722,Prospecting,2025-06-04,2025-03-10,Direct,CMP000015,5472.2,ACC000471,OPP001623
Catalyst Software 33 - RevOps Retainer,24259,Proposal,2025-10-17,2025-06-13,LinkedIn,CMP000029,14555.4,ACC000633,OPP001146
Clearpath Intelligence 41 - Lifecycle Redesign,103287,Discovery,2025-07-07,2025-01-28,Content Download,CMP000010,25821.75,ACC000330,OPP000376
Apex Networks - RevOps Retainer,164970,Proposal,2026-01-09,2025-09-15,Content Download,CMP000024,98982.0,ACC000246,OPP000119
Clearpath Markets 43 - HubSpot-SFDC Integration,10089,Closed Won,2025-02-10,2025-01-01,Event,CMP000003,10089.0,ACC000397,OPP000277
Summit Cloud - Lead Routing,119144,Proposal,2026-08-07,2026-04-13,Webinar,CMP000002,71486.4,ACC000273,OPP000432
Catalyst Cloud 14 - Reporting Build,42018,Prospecting,2026-05-01,2026-01-16,Paid Search,CMP000009,4201.8,ACC000265,OPP000912
Apex Systems - RevOps Retainer,73629,Negotiation,2025-09-08,2025-03-29,Direct,,55221.75,ACC000638,OPP001143
Evergreen Ops 30 - Reporting Build,211934,Demo,2026-01-20,2025-10-21,Paid Search,CMP000024,84773.6,ACC000426,OPP000617
Summit Dynamics - Lead Routing,123667,Closed Lost,2025-12-17,2025-07-15,Direct,,0.0,ACC000022,OPP000584
Vertex Analytics - RevOps Retainer,83515,Demo,2026-04-10,2025-12-07,Event,CMP000004,33406.0,ACC000133,OPP000431
Nova Analytics - CRM Cleanup,31707,Prospecting,2026-05-14,2025-12-19,Event,CMP000030,3170.7,ACC000063,OPP001286
Signal Group - Reporting Build,33149,Closed Lost,2025-05-31,2025-03-09,Direct,CMP000007,0.0,ACC000033,OPP000913
Bright Dynamics 65 - RevOps Retainer,173920,Discovery,2025-09-29,2025-06-04,Partner,CMP000022,43480.0,ACC000412,OPP000647
Bright Dynamics 65 - Reporting Build,48732,Closed Lost,2025-06-23,2025-02-05,LinkedIn,CMP000001,0.0,ACC000412,OPP001483
Northstar Dynamics 19 - Lifecycle Redesign,76543,Closed Lost,2025-08-14,2025-05-06,Content Download,CMP000001,0.0,ACC000578,OPP000308
Northstar Intelligence - Lead Routing,35436,Discovery,2026-01-21,2025-10-29,Referral,CMP000021,8859.0,ACC000461,OPP000484
Nova Intelligence 92 - RevOps Retainer,291370,Proposal,2026-01-05,2025-09-19,Webinar,CMP000012,174822.0,ACC000249,OPP000752
Nova Data - Reporting Build,81582,Closed Lost,2025-04-06,2025-01-03,Content Download,CMP000003,0.0,ACC000307,OPP000968
Cobalt Labs 40 - RevOps Retainer,69964,Proposal,2026-08-20,2026-05-01,Webinar,CMP000013,41978.4,ACC000516,OPP000863
Ironwood Data - Reporting Build,33406,Negotiation,2026-03-25,2025-12-06,Outbound,CMP000035,25054.5,ACC000089,OPP001110
Meridian Systems - Lifecycle Redesign,272264,Prospecting,2026-03-14,2025-09-26,Event,CMP000030,27226.4,ACC000027,OPP000325
BluePeak Labs - Reporting Build,141783,Discovery,2025-08-07,2025-04-05,LinkedIn,CMP000016,35445.75,ACC000255,OPP001560
