External Opportunity ID,External Account ID,Opportunity Name,Created Date,Close Date,Salesforce Stage Suggested,Original Stage,Amount,Probability,Expected Revenue,Owner External ID,Lead Source,Primary Campaign External ID,Forecast Category,Next Step,Days in Current Stage,Is Stale
OPP001296,ACC000099,BluePeak Works - Lead Routing,2026-03-24,2026-04-11,Closed Lost,Closed Lost,10384,0.0,0.0,USR000014,Content Download,CMP000026,Closed,,32,False
OPP000228,ACC000573,Cobalt Cloud 5 - CRM Cleanup,2025-07-25,2025-09-12,Prospecting,Prospecting,49172,0.1,4917.2,USR000019,Organic Search,,Commit,No next step logged,58,True
OPP000715,ACC000483,Apex Ops 16 - HubSpot-SFDC Integration,2026-03-16,2026-05-12,Proposal,Proposal,8116,0.6,4869.6,USR000023,Event,CMP000018,Best Case,Executive follow-up,55,True
OPP000106,ACC000602,Vertex Networks 19 - Lifecycle Redesign,2025-02-13,2025-02-28,Prospecting,Prospecting,15675,0.1,1567.5,USR000009,Outbound,CMP000026,Commit,Legal review,24,False
OPP000134,ACC000020,Keystone Intelligence - Lead Routing,2026-05-10,2026-06-30,Discovery,Discovery,9549,0.25,2387.25,USR000021,Event,CMP000003,Best Case,Technical scoping,33,False
OPP000457,ACC000163,Catalyst Group 20 - Lifecycle Redesign,2025-10-19,2026-02-09,Closed Won,Closed Won,170136,1.0,170136.0,USR000011,Content Download,CMP000036,Closed,,30,False
OPP000595,ACC000239,Evergreen Works - Lifecycle Redesign,2026-04-27,2026-07-26,Negotiation,Negotiation,113638,0.75,85228.5,USR000022,Paid Search,CMP000009,Commit,Schedule discovery,57,True
OPP001523,ACC000506,Cobalt Dynamics 47 - RevOps Retainer,2025-03-21,2025-07-14,Prospecting,Prospecting,47353,0.1,4735.3,USR000014,Webinar,,Commit,Executive follow-up,21,False
OPP000517,ACC000332,Bright Dynamics 96 - Reporting Build,2025-10-27,2025-12-10,Closed Lost,Closed Lost,24718,0.0,0.0,USR000011,Content Download,CMP000005,Closed,,2,False
OPP001177,ACC000074,Meridian Markets 2 - Reporting Build,2025-01-27,2025-04-30,Prospecting,Prospecting,211773,0.1,21177.3,USR000022,Referral,CMP000019,Commit,Send proposal,32,False
OPP000903,ACC000446,Northstar Ops 94 - CRM Cleanup,2026-02-12,2026-06-09,Discovery,Discovery,17601,0.25,4400.25,USR000023,LinkedIn,CMP000018,Commit,No next step logged,23,True
OPP000522,ACC000381,Clearpath Networks 88 - Lead Routing,2026-03-14,2026-05-17,Closed Lost,Closed Lost,41795,0.0,0.0,USR000007,Direct,CMP000033,Closed,,7,False
OPP001258,ACC000532,Northstar Health - Lead Routing,2025-08-15,2026-01-12,Closed Won,Closed Won,231682,1.0,231682.0,USR000019,Webinar,CMP000028,Closed,,50,False
OPP001054,ACC000083,Nimbus Intelligence - RevOps Retainer,2026-05-21,2026-07-27,Discovery,Discovery,26094,0.25,6523.5,USR000018,Event,CMP000020,Commit,Schedule discovery,28,False
OPP000363,ACC000346,Vertex Platform - Lifecycle Redesign,2025-12-26,2026-04-04,Closed Won,Closed Won,142608,1.0,142608.0,USR000019,Paid Search,CMP000018,Closed,,55,False
OPP001625,ACC000025,Evergreen Systems - HubSpot-SFDC Integration,2026-05-25,2026-10-28,Proposal,Proposal,416730,0.6,250038.0,USR000014,Content Download,CMP000011,Commit,Legal review,32,False
OPP001650,ACC000382,Catalyst Works 16 - Lifecycle Redesign,2026-03-30,2026-09-01,Closed Lost,Closed Lost,100175,0.0,0.0,USR000011,Outbound,CMP000014,Closed,,45,False
OPP000097,ACC000209,Vertex Analytics 84 - Reporting Build,2025-04-23,2025-06-25,Proposal,Proposal,26784,0.6,16070.4,USR000019,Webinar,CMP000034,Commit,No next step logged,41,True
OPP000520,ACC000408,Clearpath Intelligence 94 - Reporting Build,2026-06-07,2026-10-09,Negotiation,Negotiation,144864,0.75,108648.0,USR000007,Event,CMP000009,Pipeline,Legal review,14,False
OPP000701,ACC000438,Summit Networks 59 - Reporting Build,2025-08-23,2025-09-29,Proposal,Proposal,60236,0.6,36141.6,USR000027,Paid Search,CMP000024,Commit,Legal review,5,False
OPP000023,ACC000424,Nimbus Health 75 - Reporting Build,2025-06-20,2025-08-14,Discovery,Discovery,47499,0.25,11874.75,USR000007,Webinar,CMP000018,Commit,Send proposal,11,False
OPP001460,ACC000146,Bright Markets 38 - RevOps Retainer,2025-03-21,2025-08-05,Discovery,Discovery,154421,0.25,38605.25,USR000011,Paid Search,CMP000005,Best Case,Send proposal,72,True
OPP000293,ACC000528,Catalyst Data 39 - HubSpot-SFDC Integration,2025-04-11,2025-08-03,Negotiation,Negotiation,150260,0.75,112695.0,USR000022,Referral,,Pipeline,Technical scoping,2,False
OPP000857,ACC000461,Northstar Intelligence - Reporting Build,2026-02-10,2026-05-01,Closed Lost,Closed Lost,28928,0.0,0.0,USR000010,LinkedIn,CMP000020,Closed,,49,False
OPP001557,ACC000146,Bright Markets 38 - CRM Cleanup,2025-04-12,2025-08-04,Discovery,Discovery,92609,0.25,23152.25,USR000010,Direct,CMP000015,Pipeline,Executive follow-up,31,False
OPP000553,ACC000275,Meridian Labs - CRM Cleanup,2025-11-04,2025-11-19,Demo,Demo,12834,0.4,5133.6,USR000005,Direct,CMP000004,Pipeline,Schedule discovery,78,True
OPP001542,ACC000515,Catalyst Intelligence 41 - Reporting Build,2025-01-30,2025-03-21,Prospecting,Prospecting,40939,0.1,4093.9,USR000021,Direct,CMP000018,Pipeline,Schedule discovery,23,False
OPP000540,ACC000589,Nimbus Analytics 95 - CRM Cleanup,2026-05-10,2026-08-29,Discovery,Discovery,31552,0.25,7888.0,USR000007,Outbound,CMP000033,Commit,Schedule discovery,45,False
OPP001397,ACC000073,Evergreen Data - Lead Routing,2025-08-30,2025-10-24,Closed Won,Closed Won,16441,1.0,16441.0,USR000022,Organic Search,CMP000018,Closed,,24,False
OPP001083,ACC000529,Atlas Intelligence 88 - CRM Cleanup,2025-07-18,2025-10-14,Prospecting,Prospecting,9347,0.1,934.7,USR000007,Direct,CMP000026,Commit,Technical scoping,27,False
OPP000688,ACC000463,Catalyst Health 65 - Reporting Build,2025-06-18,2025-10-19,Proposal,Proposal,77942,0.6,46765.2,USR000014,LinkedIn,CMP000012,Best Case,Technical scoping,17,False
OPP001082,ACC000005,Summit Solutions - Reporting Build,2025-06-06,2025-07-18,Demo,Demo,23021,0.4,9208.4,USR000007,Event,CMP000001,Commit,No next step logged,21,True
OPP000025,ACC000575,Meridian Ops 42 - Lead Routing,2025-10-05,2026-03-15,Closed Lost,Closed Lost,187763,0.0,0.0,USR000009,Webinar,CMP000019,Closed,,30,False
OPP000730,ACC000202,Clearpath Labs 59 - RevOps Retainer,2025-05-17,2025-08-25,Prospecting,Prospecting,22227,0.1,2222.7,USR000022,Content Download,CMP000016,Best Case,Technical scoping,19,False
OPP000307,ACC000231,Summit Group - HubSpot-SFDC Integration,2025-04-10,2025-08-16,Demo,Demo,282144,0.4,112857.6,USR000019,Organic Search,CMP000004,Best Case,No next step logged,39,True
OPP000867,ACC000498,Keystone Platform 46 - Lead Routing,2026-03-13,2026-04-12,Closed Won,Closed Won,39804,1.0,39804.0,USR000019,Organic Search,CMP000012,Closed,,42,False
OPP000005,ACC000505,Atlas Health 62 - CRM Cleanup,2026-06-10,2026-07-28,Discovery,Discovery,90492,0.25,22623.0,USR000009,Outbound,CMP000018,Pipeline,Executive follow-up,34,False
OPP001063,ACC000605,Northstar Solutions 23 - Lifecycle Redesign,2025-01-06,2025-03-11,Negotiation,Negotiation,99774,0.75,74830.5,USR000022,Webinar,CMP000024,Pipeline,Send proposal,24,False
OPP001081,ACC000159,Pioneer Software - Lifecycle Redesign,2026-03-25,2026-07-26,Demo,Demo,334672,0.4,133868.8,USR000027,Event,CMP000002,Pipeline,Executive follow-up,10,False
OPP000524,ACC000311,Cobalt Markets - Reporting Build,2025-03-13,2025-06-14,Closed Won,Closed Won,141229,1.0,141229.0,USR000011,Outbound,CMP000020,Closed,,57,False
OPP001096,ACC000543,Pioneer Labs 30 - RevOps Retainer,2025-07-12,2025-09-06,Discovery,Discovery,29191,0.25,7297.75,USR000022,Organic Search,CMP000033,Pipeline,Send proposal,17,False
OPP000178,ACC000158,Summit Markets 80 - Lifecycle Redesign,2025-04-27,2025-06-15,Proposal,Proposal,25218,0.6,15130.8,USR000005,Event,CMP000013,Pipeline,Schedule discovery,63,True
OPP000256,ACC000361,Signal Markets - CRM Cleanup,2026-02-28,2026-05-15,Closed Lost,Closed Lost,86754,0.0,0.0,USR000022,Event,CMP000006,Closed,,17,False
OPP000991,ACC000340,Summit Health 69 - RevOps Retainer,2025-02-17,2025-06-19,Negotiation,Negotiation,75481,0.75,56610.75,USR000011,Referral,CMP000002,Best Case,Technical scoping,61,True
OPP000997,ACC000272,Cobalt Platform 66 - HubSpot-SFDC Integration,2026-01-04,2026-04-26,Closed Lost,Closed Lost,36698,0.0,0.0,USR000027,Referral,CMP000003,Closed,,17,False
OPP001373,ACC000555,Keystone Systems 68 - RevOps Retainer,2026-01-07,2026-04-10,Demo,Demo,200762,0.4,80304.8,USR000021,Partner,CMP000027,Best Case,Executive follow-up,90,True
OPP001517,ACC000264,Evergreen Health - CRM Cleanup,2025-06-07,2025-06-27,Discovery,Discovery,49115,0.25,12278.75,USR000018,Direct,CMP000023,Best Case,Schedule discovery,15,False
OPP000175,ACC000272,Cobalt Platform 66 - HubSpot-SFDC Integration,2025-07-09,2025-12-12,Prospecting,Prospecting,83019,0.1,8301.9,USR000011,Partner,CMP000026,Pipeline,Executive follow-up,28,False
OPP000234,ACC000253,Ironwood Ops - CRM Cleanup,2025-10-06,2026-01-09,Closed Won,Closed Won,51569,1.0,51569.0,USR000005,Direct,CMP000030,Closed,,23,False
OPP001168,ACC000063,Nova Analytics - Reporting Build,2025-10-19,2026-04-27,Proposal,Proposal,94612,0.6,56767.2,USR000021,Organic Search,CMP000014,Commit,Executive follow-up,60,True
OPP000242,ACC000128,Ironwood Cloud - Reporting Build,2025-02-06,2025-04-23,Discovery,Discovery,22626,0.25,5656.5,USR000023,Partner,CMP000006,Commit,Schedule discovery,27,False
OPP001549,ACC000207,Meridian Works - Lead Routing,2025-01-07,2025-04-29,Closed Lost,Closed Lost,102160,0.0,0.0,USR000027,Content Download,CMP000009,Closed,,3,False
OPP000735,ACC000100,Pioneer Networks - CRM Cleanup,2025-03-01,2025-04-26,Demo,Demo,8331,0.4,3332.4,USR000010,Organic Search,CMP000028,Pipeline,Schedule discovery,31,False
OPP001612,ACC000323,Meridian Networks - Lifecycle Redesign,2025-10-14,2025-12-13,Proposal,Proposal,38339,0.6,23003.4,USR000010,Partner,CMP000002,Best Case,Technical scoping,41,False
OPP001068,ACC000643,Meridian Software - Lifecycle Redesign,2025-11-07,2026-03-12,Proposal,Proposal,224001,0.6,134400.6,USR000021,Outbound,CMP000012,Commit,Technical scoping,21,False
OPP001401,ACC000273,Summit Cloud - CRM Cleanup,2026-01-25,2026-06-21,Prospecting,Prospecting,71423,0.1,7142.3,USR000021,Outbound,CMP000004,Commit,Technical scoping,54,True
OPP001183,ACC000181,Northstar Cloud - HubSpot-SFDC Integration,2025-06-21,2025-12-12,Proposal,Proposal,149389,0.6,89633.4,USR000018,Partner,CMP000007,Pipeline,Legal review,33,False
OPP001138,ACC000253,Ironwood Ops - Lifecycle Redesign,2026-05-01,2026-08-09,Proposal,Proposal,33032,0.6,19819.2,USR000021,Direct,,Best Case,Schedule discovery,33,False
OPP001418,ACC000412,Bright Dynamics 65 - Lead Routing,2026-05-05,2026-10-28,Negotiation,Negotiation,56977,0.75,42732.75,USR000018,Direct,CMP000019,Best Case,Schedule discovery,76,True
OPP000246,ACC000337,Vertex Systems 29 - HubSpot-SFDC Integration,2025-09-15,2026-03-22,Negotiation,Negotiation,141492,0.75,106119.0,USR000027,Outbound,CMP000011,Best Case,No next step logged,30,True
OPP000452,ACC000237,Northstar Markets - Lifecycle Redesign,2025-01-13,2025-04-06,Demo,Demo,94558,0.4,37823.2,USR000019,Outbound,CMP000022,Pipeline,No next step logged,26,True
OPP001456,ACC000286,Signal Markets 42 - CRM Cleanup,2025-09-04,2025-12-06,Proposal,Proposal,15889,0.6,9533.4,USR000005,Outbound,CMP000009,Commit,Executive follow-up,47,True
OPP000209,ACC000196,Summit Software - RevOps Retainer,2025-04-15,2025-04-30,Demo,Demo,8100,0.4,3240.0,USR000023,Partner,CMP000011,Commit,Technical scoping,6,False
OPP000446,ACC000506,Cobalt Dynamics 47 - Reporting Build,2025-07-29,2025-11-22,Closed Won,Closed Won,144194,1.0,144194.0,USR000021,Content Download,CMP000033,Closed,,26,False
OPP000144,ACC000575,Meridian Ops 42 - RevOps Retainer,2026-01-22,2026-06-07,Closed Lost,Closed Lost,164610,0.0,0.0,USR000027,Organic Search,CMP000017,Closed,,24,False
OPP000451,ACC000173,Keystone Health - HubSpot-SFDC Integration,2026-04-23,2026-06-22,Prospecting,Prospecting,30270,0.1,3027.0,USR000010,Paid Search,CMP000018,Best Case,Executive follow-up,49,True
OPP000054,ACC000491,Vertex Systems 24 - Lifecycle Redesign,2025-03-30,2025-05-14,Closed Won,Closed Won,14647,1.0,14647.0,USR000005,Content Download,CMP000032,Closed,,50,False
OPP001272,ACC000375,Apex Group - RevOps Retainer,2025-02-04,2025-06-06,Discovery,Discovery,84866,0.25,21216.5,USR000014,Paid Search,CMP000029,Best Case,Send proposal,13,False
OPP001037,ACC000193,Nova Networks 81 - HubSpot-SFDC Integration,2025-11-17,2026-03-13,Closed Lost,Closed Lost,97477,0.0,0.0,USR000023,Organic Search,CMP000025,Closed,,10,False
OPP001624,ACC000521,Summit Ops 58 - Lead Routing,2026-02-12,2026-05-29,Negotiation,Negotiation,61932,0.75,46449.0,USR000021,Paid Search,CMP000031,Pipeline,No next step logged,10,True
OPP000412,ACC000435,BluePeak Cloud 83 - Lead Routing,2026-01-08,2026-04-15,Prospecting,Prospecting,52877,0.1,5287.7,USR000022,Organic Search,,Pipeline,Schedule discovery,7,False
OPP001152,ACC000579,Pioneer Systems 72 - RevOps Retainer,2026-05-20,2026-07-11,Prospecting,Prospecting,93659,0.1,9365.9,USR000014,Partner,,Commit,No next step logged,13,True
OPP000193,ACC000251,Vertex Dynamics 65 - Lifecycle Redesign,2025-07-31,2026-01-13,Closed Lost,Closed Lost,82848,0.0,0.0,USR000023,Outbound,CMP000013,Closed,,17,False
OPP000633,ACC000476,Northstar Data 7 - Reporting Build,2026-06-08,2026-08-07,Proposal,Proposal,28281,0.6,16968.6,USR000022,Content Download,CMP000013,Commit,Send proposal,19,False
OPP000951,ACC000272,Cobalt Platform 66 - HubSpot-SFDC Integration,2026-06-01,2026-10-28,Discovery,Discovery,163106,0.25,40776.5,USR000018,Event,CMP000005,Pipeline,Legal review,28,False
OPP001003,ACC000414,Evergreen Networks 99 - Reporting Build,2025-08-15,2025-11-22,Proposal,Proposal,148396,0.6,89037.6,USR000023,Referral,CMP000010,Pipeline,Technical scoping,11,False
OPP001445,ACC000567,Pioneer Works 29 - Reporting Build,2026-02-04,2026-04-28,Demo,Demo,16622,0.4,6648.8,USR000021,Direct,CMP000002,Best Case,Executive follow-up,41,False
OPP000305,ACC000252,Evergreen Cloud 80 - CRM Cleanup,2025-10-01,2025-11-18,Demo,Demo,11871,0.4,4748.4,USR000009,Referral,CMP000021,Pipeline,Send proposal,43,False
OPP001104,ACC000580,Evergreen Analytics 41 - Lifecycle Redesign,2026-03-15,2026-07-18,Closed Lost,Closed Lost,196935,0.0,0.0,USR000027,Organic Search,CMP000025,Closed,,14,False
OPP000270,ACC000216,Meridian Ops - CRM Cleanup,2025-07-09,2025-11-29,Closed Won,Closed Won,79753,1.0,79753.0,USR000019,Content Download,,Closed,,8,False
OPP001207,ACC000255,BluePeak Labs - HubSpot-SFDC Integration,2026-01-01,2026-03-30,Closed Lost,Closed Lost,158403,0.0,0.0,USR000027,Partner,CMP000022,Closed,,17,False
OPP001120,ACC000210,Northstar Software 45 - CRM Cleanup,2025-04-02,2025-06-18,Negotiation,Negotiation,101376,0.75,76032.0,USR000018,Direct,CMP000014,Commit,Send proposal,41,False
OPP000668,ACC000606,Cobalt Dynamics - Lead Routing,2026-02-11,2026-08-14,Negotiation,Negotiation,81331,0.75,60998.25,USR000019,Organic Search,CMP000018,Commit,Executive follow-up,29,False
OPP000766,ACC000445,Clearpath Cloud - Reporting Build,2025-09-07,2025-11-17,Demo,Demo,42435,0.4,16974.0,USR000023,Content Download,CMP000035,Best Case,Schedule discovery,34,False
OPP000521,ACC000535,Ironwood Health 54 - HubSpot-SFDC Integration,2026-03-28,2026-05-26,Prospecting,Prospecting,59660,0.1,5966.0,USR000022,Paid Search,CMP000007,Best Case,Technical scoping,18,False
OPP000083,ACC000606,Cobalt Dynamics - Reporting Build,2025-11-06,2026-02-26,Closed Won,Closed Won,147079,1.0,147079.0,USR000027,Referral,CMP000030,Closed,,22,False
OPP000049,ACC000007,BluePeak Health - CRM Cleanup,2026-01-04,2026-03-05,Demo,Demo,23523,0.4,9409.2,USR000005,Event,CMP000004,Commit,Executive follow-up,40,False
OPP000058,ACC000464,Catalyst Intelligence - CRM Cleanup,2025-11-03,2026-04-25,Closed Lost,Closed Lost,283042,0.0,0.0,USR000019,Referral,CMP000010,Closed,,18,False
OPP000655,ACC000325,Keystone Cloud - CRM Cleanup,2026-01-05,2026-06-17,Prospecting,Prospecting,144645,0.1,14464.5,USR000019,LinkedIn,CMP000024,Best Case,Executive follow-up,30,False
