account_id,account_name,domain,industry,segment,region,employee_count,annual_revenue_est,account_owner_id,created_date,is_pe_backed,crm_health_score
ACC000041,Keystone Solutions,keystonesolutions.com,SaaS,SMB,Central,71,6803589,USR000009,2025-12-13,False,80
ACC000042,Nimbus Networks,nimbusnetworks.co,Manufacturing Tech,SMB,International,66,15495993,USR000018,2026-01-31,True,82
ACC000043,Summit Analytics 90,summitanalytics90.io,Manufacturing Tech,SMB,West,334,61995238,USR000014,2024-10-17,False,97
ACC000044,Evergreen Cloud,evergreencloud.co,FinTech,Mid-Market,West,717,93658008,USR000011,2025-12-17,True,63
ACC000045,Pioneer Labs,pioneerlabs.ai,HR Tech,SMB,International,58,6727660,USR000010,2024-05-27,False,95
ACC000046,Summit Intelligence,summitintelligence.net,EdTech,SMB,Northeast,99,16582939,USR000027,2024-12-04,False,80
ACC000047,Vertex Dynamics,vertexdynamics.io,FinTech,Mid-Market,Southeast,174,24950886,USR000005,2025-09-23,True,65
ACC000048,Northstar Group,northstargroup.co,HR Tech,SMB,Central,132,18736825,USR000009,2023-12-23,False,80
ACC000049,Summit Platform,summitplatform.com,Logistics Tech,Mid-Market,Mountain,316,46196637,USR000010,2025-01-31,False,73
ACC000050,Clearpath Intelligence,clearpathintellige.ai,HR Tech,Mid-Market,Mountain,1168,213017124,USR000005,2023-12-02,False,77
ACC000051,Signal Platform,signalplatform.ai,Cybersecurity,SMB,West,128,22569104,USR000011,2024-11-20,False,73
ACC000052,Pioneer Platform,pioneerplatform.net,Ecommerce,SMB,West,117,21515241,USR000007,2025-12-02,True,78
ACC000053,Nimbus Labs 15,nimbuslabs15.net,EdTech,SMB,Central,105,10571221,USR000027,2025-02-14,False,63
ACC000054,Nova Ops,novaops.net,Manufacturing Tech,Mid-Market,West,204,33538746,USR000018,2025-04-05,False,60
ACC000055,Signal Solutions,signalsolutions.com,EdTech,Mid-Market,West,492,103576892,USR000021,2025-01-30,False,80
ACC000056,Evergreen Software,evergreensoftware.ai,EdTech,Mid-Market,West,1128,225314800,USR000023,2025-09-04,True,95
ACC000057,Nova Group,novagroup.com,Cybersecurity,Mid-Market,Northeast,445,55976340,USR000011,2023-10-06,False,86
ACC000058,Keystone Group,keystonegroup.co,Cybersecurity,SMB,Northeast,90,19257175,USR000009,2024-02-01,False,85
ACC000059,Signal Ops,signalops.co,FinTech,SMB,Northeast,77,17903215,USR000022,2025-04-30,False,63
ACC000060,Atlas Platform,atlasplatform.net,SaaS,SMB,Central,100,17305545,USR000011,2026-03-20,False,60
ACC000061,Nova Data 58,novadata58.co,HR Tech,SMB,Northeast,107,20958595,USR000019,2025-01-20,True,95
ACC000062,Northstar Analytics,northstaranalytics.ai,Manufacturing Tech,Mid-Market,International,256,26269701,USR000023,2023-06-19,False,75
ACC000063,Nova Analytics,novaanalytics.io,Cybersecurity,Enterprise,Mountain,2047,255842679,USR000010,2024-05-14,True,55
ACC000064,Vertex Systems,vertexsystems.com,HR Tech,Enterprise,Southeast,766,150310019,USR000022,2024-03-20,False,86
ACC000065,Keystone Software 93,keystonesoftware93.co,Logistics Tech,Mid-Market,Southeast,261,40498789,USR000010,2023-06-22,True,55
ACC000066,Summit Ops 30,summitops30.io,Manufacturing Tech,Mid-Market,Southeast,481,97117138,USR000005,2023-12-14,False,60
ACC000067,Evergreen Dynamics,evergreendynamics.com,Logistics Tech,SMB,Mountain,131,16183658,USR000019,2023-05-14,False,66
ACC000068,BluePeak Group,bluepeakgroup.co,Manufacturing Tech,Enterprise,Southeast,704,67943122,USR000021,2023-07-22,False,80
ACC000069,Clearpath Networks,clearpathnetworks.co,Logistics Tech,SMB,Central,69,7930329,USR000010,2026-03-12,False,75
ACC000070,Catalyst Solutions 58,catalystsolutions5.com,Cybersecurity,Mid-Market,Mountain,651,63027839,USR000011,2025-11-01,False,74
ACC000071,Evergreen Analytics 19,evergreenanalytics.io,HR Tech,SMB,Southeast,55,7719195,USR000027,2026-02-19,True,68
ACC000072,Vertex Software,vertexsoftware.com,EdTech,Mid-Market,Southeast,711,72280399,USR000014,2023-02-10,True,46
ACC000073,Evergreen Data,evergreendata.co,SaaS,Mid-Market,Mountain,1043,136261323,USR000018,2025-06-27,False,51
ACC000074,Meridian Markets 2,meridianmarkets2.ai,Cybersecurity,Enterprise,Southeast,966,222092357,USR000018,2025-05-26,True,97
ACC000075,Ironwood Dynamics 36,ironwooddynamics36.co,Logistics Tech,SMB,West,84,19974604,USR000018,2025-05-02,False,93
ACC000076,Nova Platform,novaplatform.io,Logistics Tech,SMB,Mountain,103,10251257,USR000022,2023-04-15,False,89
ACC000077,Meridian Systems 12,meridiansystems12.co,FinTech,SMB,Southeast,90,18481330,USR000009,2024-11-07,False,72
ACC000078,Bright Solutions,brightsolutions.co,Ecommerce,SMB,Mountain,59,7535265,USR000019,2024-11-15,False,62
ACC000079,Meridian Solutions 98,meridiansolutions9.co,Cybersecurity,SMB,West,161,23139629,USR000019,2025-12-31,True,93
ACC000080,Apex Labs,apexlabs.ai,HR Tech,Mid-Market,International,813,110703434,USR000007,2025-12-13,False,70
ACC000081,Bright Systems,brightsystems.io,HR Tech,SMB,West,113,18306779,USR000022,2025-07-07,False,90
ACC000082,Vertex Markets 87,vertexmarkets87.com,HR Tech,Mid-Market,Southeast,237,26178005,USR000027,2025-02-02,False,81
ACC000083,Nimbus Intelligence,nimbusintelligence.io,Healthcare Tech,Mid-Market,Mountain,634,65714298,USR000011,2023-09-06,False,98
ACC000084,Summit Systems,summitsystems.ai,EdTech,Mid-Market,Southeast,988,216722301,USR000027,2023-05-13,False,52
ACC000085,Signal Analytics,signalanalytics.net,HR Tech,Mid-Market,West,519,51866470,USR000027,2023-03-10,False,80
ACC000086,Atlas Health,atlashealth.net,SaaS,Mid-Market,Central,748,94264338,USR000021,2023-04-21,True,51
ACC000087,Cobalt Group 3,cobaltgroup3.co,Logistics Tech,SMB,West,49,6950654,USR000018,2024-10-28,False,78
ACC000088,Vertex Ops 24,vertexops24.net,Cybersecurity,SMB,Northeast,67,7808955,USR000021,2025-04-17,True,60
ACC000089,Ironwood Data,ironwooddata.co,Cybersecurity,Mid-Market,Central,297,49157239,USR000010,2026-01-01,True,55
ACC000090,Cobalt Solutions,cobaltsolutions.co,HR Tech,Mid-Market,Southeast,431,48938607,USR000022,2023-02-17,True,98
ACC000091,Meridian Group,meridiangroup.com,Logistics Tech,SMB,Central,126,14827447,USR000009,2024-12-19,False,82
ACC000092,Ironwood Software,ironwoodsoftware.ai,Cybersecurity,Enterprise,Central,3049,517384392,USR000011,2023-12-31,True,61
ACC000093,Nimbus Systems,nimbussystems.net,HR Tech,SMB,West,112,24266603,USR000010,2023-12-29,False,61
ACC000094,Evergreen Dynamics 90,evergreendynamics9.co,Logistics Tech,SMB,Southeast,208,26285079,USR000005,2024-04-29,True,37
ACC000095,Cobalt Works,cobaltworks.io,EdTech,Mid-Market,International,171,24186074,USR000010,2023-01-25,False,74
ACC000096,Atlas Intelligence,atlasintelligence.co,Manufacturing Tech,Mid-Market,Northeast,249,42470929,USR000014,2023-02-03,False,71
ACC000097,Pioneer Data 36,pioneerdata36.ai,Cybersecurity,Mid-Market,Mountain,133,18702064,USR000007,2024-11-22,False,86
ACC000098,Summit Networks 26,summitnetworks26.io,Logistics Tech,Mid-Market,Central,186,19579730,USR000027,2024-09-15,True,79
ACC000099,BluePeak Works,bluepeakworks.com,HR Tech,SMB,Central,57,12797344,USR000010,2025-01-28,True,64
ACC000100,Pioneer Networks,pioneernetworks.ai,SaaS,SMB,International,99,22533324,USR000021,2024-10-07,False,84
ACC000101,Bright Labs 72,brightlabs72.ai,FinTech,Mid-Market,International,631,124791980,USR000019,2024-12-15,False,79
ACC000102,Atlas Markets 63,atlasmarkets63.co,Ecommerce,SMB,Mountain,62,8590216,USR000005,2024-12-24,False,79
ACC000103,Summit Analytics 53,summitanalytics53.co,Healthcare Tech,SMB,Northeast,103,13729342,USR000023,2023-05-19,False,59
ACC000104,Bright Cloud,brightcloud.io,Cybersecurity,SMB,West,34,5376766,USR000010,2023-09-18,True,89
ACC000105,Summit Ops,summitops.net,HR Tech,Enterprise,Northeast,3475,445481441,USR000018,2023-11-25,False,63
ACC000106,Clearpath Data,clearpathdata.ai,EdTech,Mid-Market,Central,103,14660014,USR000022,2023-11-14,False,60
ACC000107,Signal Software 35,signalsoftware35.com,FinTech,SMB,Mountain,68,15569784,USR000009,2025-07-06,True,54
ACC000108,Evergreen Analytics,evergreenanalytics.io,SaaS,Mid-Market,Southeast,540,113362507,USR000019,2024-12-25,True,81
ACC000109,Ironwood Works,ironwoodworks.com,HR Tech,SMB,Central,135,18552980,USR000027,2025-12-01,False,75
ACC000110,Cobalt Dynamics 35,cobaltdynamics35.net,HR Tech,Enterprise,Southeast,651,103770681,USR000007,2024-02-26,False,57
ACC000111,Vertex Solutions 20,vertexsolutions20.com,SaaS,Mid-Market,Mountain,144,21416013,USR000011,2025-03-31,False,85
ACC000112,Summit Data 90,summitdata90.ai,EdTech,Mid-Market,Central,178,19738564,USR000021,2025-11-04,False,88
ACC000113,Evergreen Markets,evergreenmarkets.co,Healthcare Tech,Mid-Market,Northeast,525,125818293,USR000005,2026-01-25,False,94
ACC000114,Nimbus Systems 13,nimbussystems13.io,SaaS,Mid-Market,International,332,65440391,USR000011,2024-05-31,False,66
ACC000115,Bright Networks,brightnetworks.co,Manufacturing Tech,SMB,International,182,20472745,USR000019,2023-02-16,False,65
ACC000116,Keystone Markets 13,keystonemarkets13.co,Ecommerce,Mid-Market,Southeast,409,71503937,USR000014,2025-03-04,True,70
ACC000117,Nova Health,novahealth.io,Ecommerce,SMB,Southeast,33,5256928,USR000027,2023-10-29,False,92
ACC000118,Meridian Labs 60,meridianlabs60.com,Ecommerce,Enterprise,Central,3220,576201083,USR000014,2025-09-30,False,58
ACC000119,BluePeak Systems 86,bluepeaksystems86.net,Logistics Tech,Mid-Market,Southeast,454,51247908,USR000005,2024-08-26,False,78
ACC000120,Signal Intelligence,signalintelligence.net,Logistics Tech,SMB,International,75,8612105,USR000019,2024-02-24,True,65
ACC000121,Bright Software,brightsoftware.ai,Manufacturing Tech,Enterprise,Mountain,2060,368104109,USR000011,2024-10-22,False,87
ACC000122,Clearpath Markets,clearpathmarkets.com,SaaS,Mid-Market,International,566,102195958,USR000022,2024-07-28,False,63
ACC000123,Catalyst Networks,catalystnetworks.ai,Manufacturing Tech,Enterprise,West,1927,312415928,USR000021,2023-12-13,False,83
ACC000124,Keystone Analytics,keystoneanalytics.io,Healthcare Tech,SMB,Southeast,48,5589986,USR000007,2024-12-10,True,69
ACC000125,Atlas Solutions 55,atlassolutions55.co,Logistics Tech,SMB,Mountain,60,7380874,USR000019,2025-12-08,True,84
ACC000126,Meridian Software 78,meridiansoftware78.net,FinTech,Enterprise,West,1723,177128621,USR000011,2024-07-14,True,56
ACC000127,BluePeak Solutions 2,bluepeaksolutions2.ai,Cybersecurity,SMB,Northeast,42,8818626,USR000022,2023-02-01,False,45
ACC000128,Ironwood Cloud,ironwoodcloud.co,Manufacturing Tech,Mid-Market,Southeast,733,130560523,USR000014,2025-02-07,False,66
ACC000129,Clearpath Group 26,clearpathgroup26.io,EdTech,Mid-Market,Mountain,93,13960644,USR000018,2025-08-04,True,87
ACC000130,Bright Group,brightgroup.co,EdTech,SMB,Southeast,41,7650597,USR000023,2023-03-28,False,61
ACC000131,Bright Cloud 66,brightcloud66.net,Ecommerce,Enterprise,West,1734,299563047,USR000019,2024-03-18,False,86
ACC000132,Summit Data,summitdata.com,FinTech,Mid-Market,Southeast,630,140565015,USR000023,2025-10-03,False,45
ACC000133,Vertex Analytics,vertexanalytics.co,Cybersecurity,Enterprise,Central,2012,424587374,USR000022,2024-03-27,False,72
ACC000134,Meridian Analytics,meridiananalytics.ai,Manufacturing Tech,SMB,Southeast,35,3606356,USR000014,2023-11-26,True,59
ACC000135,Ironwood Labs,ironwoodlabs.net,Healthcare Tech,SMB,Mountain,35,7836526,USR000023,2025-03-25,False,96
ACC000136,Atlas Dynamics,atlasdynamics.com,EdTech,SMB,West,69,6564260,USR000023,2023-09-18,False,87
ACC000137,Northstar Works 5,northstarworks5.com,Ecommerce,Mid-Market,West,680,83590073,USR000011,2025-05-03,False,66
ACC000138,Pioneer Intelligence,pioneerintelligenc.co,FinTech,SMB,Mountain,105,16869280,USR000021,2025-01-05,False,72
ACC000139,Keystone Networks,keystonenetworks.io,FinTech,SMB,West,106,19612303,USR000022,2024-05-08,False,48
ACC000140,Meridian Dynamics,meridiandynamics.co,FinTech,Mid-Market,Mountain,299,27734821,USR000019,2026-03-15,False,61
ACC000141,Nimbus Data,nimbusdata.ai,SaaS,Enterprise,Southeast,1315,198285185,USR000011,2025-09-24,False,71
ACC000142,Evergreen Networks,evergreennetworks.com,Logistics Tech,SMB,Central,219,41556454,USR000022,2024-03-30,False,93
ACC000143,Atlas Ops,atlasops.ai,Logistics Tech,Enterprise,Central,4324,662892588,USR000010,2023-05-10,True,65
ACC000144,Meridian Markets,meridianmarkets.com,HR Tech,Mid-Market,Southeast,447,56680657,USR000022,2023-05-29,False,61
ACC000145,Pioneer Works,pioneerworks.ai,SaaS,Mid-Market,International,457,82973239,USR000018,2023-04-08,False,78
ACC000146,Bright Markets 38,brightmarkets38.io,Ecommerce,Enterprise,Mountain,1944,253666112,USR000023,2025-01-20,True,56
ACC000147,Vertex Health 82,vertexhealth82.com,Cybersecurity,Mid-Market,Southeast,402,72169623,USR000005,2024-04-26,False,62
ACC000148,Pioneer Cloud,pioneercloud.com,Cybersecurity,Mid-Market,Central,200,30383806,USR000027,2023-03-02,False,53
ACC000149,Signal Cloud 71,signalcloud71.ai,Manufacturing Tech,Mid-Market,Northeast,595,124897867,USR000011,2023-06-21,False,64
ACC000150,Northstar Solutions,northstarsolutions.co,Cybersecurity,SMB,International,75,15833590,USR000014,2025-03-27,True,62
ACC000151,Cobalt Cloud 98,cobaltcloud98.io,EdTech,Enterprise,Northeast,967,165632732,USR000014,2023-08-04,False,68
ACC000152,Cobalt Platform,cobaltplatform.com,Cybersecurity,Mid-Market,Northeast,628,116547214,USR000007,2024-04-10,False,85
ACC000153,Nimbus Platform 83,nimbusplatform83.ai,Healthcare Tech,SMB,International,141,13407957,USR000010,2024-09-20,False,73
ACC000154,Ironwood Systems,ironwoodsystems.net,Manufacturing Tech,SMB,Central,80,16744102,USR000022,2025-09-16,True,58
ACC000155,Clearpath Works 85,clearpathworks85.co,Healthcare Tech,Mid-Market,Mountain,1346,252408788,USR000005,2026-03-21,True,76
ACC000156,Bright Works,brightworks.co,Healthcare Tech,SMB,West,101,14239105,USR000010,2023-07-02,False,65
ACC000157,Meridian Data 49,meridiandata49.net,EdTech,Mid-Market,Northeast,444,84026234,USR000027,2024-12-22,False,91
ACC000158,Summit Markets 80,summitmarkets80.co,Cybersecurity,Mid-Market,West,357,56867039,USR000027,2024-06-29,True,85
ACC000159,Pioneer Software,pioneersoftware.co,Logistics Tech,Enterprise,Mountain,2958,620640121,USR000014,2025-11-28,True,72
ACC000160,Evergreen Intelligence 9,evergreenintellige.co,Cybersecurity,SMB,Mountain,375,49032392,USR000007,2024-01-12,False,62
ACC000161,Clearpath Analytics,clearpathanalytics.io,SaaS,SMB,West,214,26924746,USR000014,2023-01-03,False,64
ACC000162,Catalyst Cloud,catalystcloud.net,HR Tech,SMB,West,115,20512122,USR000021,2024-03-07,True,82
ACC000163,Catalyst Group 20,catalystgroup20.net,SaaS,Enterprise,Central,689,132251546,USR000009,2026-03-09,False,55
ACC000164,Northstar Health 86,northstarhealth86.com,FinTech,Mid-Market,West,549,130304917,USR000014,2023-01-11,False,50
ACC000165,Catalyst Group,catalystgroup.com,FinTech,Enterprise,Central,1894,284548945,USR000005,2025-06-03,False,72
ACC000166,BluePeak Health 97,bluepeakhealth97.com,Logistics Tech,SMB,Southeast,83,7927312,USR000014,2024-05-20,False,64
ACC000167,Clearpath Dynamics 80,clearpathdynamics8.com,Manufacturing Tech,SMB,Central,196,38103006,USR000019,2023-08-04,False,64
ACC000168,Ironwood Platform 56,ironwoodplatform56.com,Logistics Tech,Mid-Market,International,860,81897605,USR000019,2024-08-02,False,81
ACC000169,Cobalt Analytics,cobaltanalytics.ai,FinTech,SMB,West,73,7988188,USR000009,2025-07-09,False,80
ACC000170,Nimbus Group,nimbusgroup.co,Manufacturing Tech,SMB,Central,118,23633263,USR000019,2025-09-10,True,69
ACC000171,BluePeak Ops,bluepeakops.com,Healthcare Tech,SMB,International,79,13421339,USR000023,2023-02-06,True,73
ACC000172,Keystone Data 31,keystonedata31.co,Ecommerce,Mid-Market,Southeast,59,10552808,USR000018,2024-11-28,False,59
ACC000173,Keystone Health,keystonehealth.ai,EdTech,Mid-Market,Central,740,148064001,USR000023,2023-08-04,False,73
ACC000174,Vertex Markets 10,vertexmarkets10.com,Healthcare Tech,Mid-Market,West,633,123194915,USR000018,2023-12-22,False,79
ACC000175,Vertex Labs 77,vertexlabs77.net,Manufacturing Tech,Mid-Market,Central,368,51618560,USR000023,2023-03-23,False,74
ACC000176,Pioneer Ops 94,pioneerops94.com,Cybersecurity,Enterprise,Northeast,1764,234710290,USR000011,2025-12-05,True,72
ACC000177,Pioneer Health,pioneerhealth.net,Manufacturing Tech,Mid-Market,Mountain,345,31519496,USR000009,2023-12-31,False,59
ACC000178,Ironwood Dynamics,ironwooddynamics.com,Ecommerce,SMB,Northeast,103,24148226,USR000014,2024-07-25,True,94
ACC000179,Catalyst Ops 73,catalystops73.net,Manufacturing Tech,Mid-Market,West,297,61071550,USR000022,2024-12-31,True,78
ACC000180,Northstar Solutions 91,northstarsolutions.ai,Ecommerce,Mid-Market,Central,354,34935576,USR000005,2026-02-17,True,97
ACC000181,Northstar Cloud,northstarcloud.net,EdTech,Enterprise,West,1469,299293295,USR000009,2025-10-27,True,77
ACC000182,Apex Analytics,apexanalytics.net,HR Tech,Enterprise,Southeast,3733,477362274,USR000018,2025-01-07,False,65
ACC000183,Clearpath Group,clearpathgroup.io,Ecommerce,Mid-Market,Central,205,42890393,USR000027,2023-06-06,True,69
ACC000184,Bright Cloud 22,brightcloud22.net,SaaS,Enterprise,International,1342,147217760,USR000007,2025-04-28,False,82
ACC000185,Keystone Markets 79,keystonemarkets79.co,EdTech,SMB,Central,114,24920857,USR000010,2023-03-25,False,75
ACC000186,Pioneer Ops 16,pioneerops16.ai,Logistics Tech,SMB,Northeast,87,19497994,USR000023,2026-03-31,True,75
ACC000187,Atlas Labs,atlaslabs.io,EdTech,SMB,Northeast,45,9884418,USR000005,2023-07-27,False,92
ACC000188,Apex Software,apexsoftware.ai,HR Tech,SMB,Mountain,82,13903359,USR000011,2023-07-18,False,55
ACC000189,Atlas Group,atlasgroup.com,SaaS,SMB,Southeast,178,28876646,USR000027,2023-07-25,False,78
ACC000190,Vertex Platform 70,vertexplatform70.io,Manufacturing Tech,Mid-Market,Northeast,493,61048693,USR000023,2025-08-13,True,49
ACC000191,Pioneer Analytics,pioneeranalytics.co,SaaS,Mid-Market,Southeast,640,87394748,USR000005,2024-12-21,True,62
ACC000192,Nova Ops 75,novaops75.co,EdTech,SMB,Central,70,12600215,USR000007,2023-01-11,False,38
ACC000193,Nova Networks 81,novanetworks81.co,Ecommerce,Enterprise,West,1173,148157820,USR000018,2025-06-07,False,71
ACC000194,Keystone Platform 69,keystoneplatform69.com,EdTech,SMB,Central,40,5676099,USR000027,2025-07-24,True,70
ACC000195,Nova Dynamics,novadynamics.ai,FinTech,SMB,West,55,7842672,USR000021,2024-08-11,True,72
ACC000196,Summit Software,summitsoftware.ai,Ecommerce,SMB,International,100,19341974,USR000023,2023-05-23,True,57
ACC000197,Summit Cloud 34,summitcloud34.io,FinTech,SMB,Northeast,104,20381021,USR000009,2023-01-09,False,60
ACC000198,Cobalt Networks,cobaltnetworks.co,Logistics Tech,SMB,Northeast,243,53616824,USR000022,2026-01-12,False,77
ACC000199,Nova Cloud 58,novacloud58.com,Logistics Tech,Enterprise,Southeast,4123,650806243,USR000023,2024-05-29,True,74
ACC000200,Atlas Solutions,atlassolutions.net,SaaS,SMB,Central,227,40631137,USR000021,2025-06-27,False,65
ACC000201,Clearpath Data 6,clearpathdata6.com,Ecommerce,Mid-Market,Central,332,66945097,USR000007,2023-11-05,False,43
ACC000202,Clearpath Labs 59,clearpathlabs59.net,HR Tech,Mid-Market,Central,1043,129611744,USR000022,2023-11-08,False,78
ACC000203,Bright Data 15,brightdata15.ai,Healthcare Tech,Mid-Market,Northeast,565,56968815,USR000023,2023-12-19,False,57
ACC000204,Northstar Labs,northstarlabs.io,Logistics Tech,SMB,Southeast,85,18439627,USR000021,2025-03-15,False,79
ACC000205,BluePeak Networks,bluepeaknetworks.ai,Ecommerce,SMB,Central,101,15735023,USR000018,2026-02-14,False,86
ACC000206,Bright Group 10,brightgroup10.ai,Healthcare Tech,Mid-Market,Northeast,832,156625165,USR000023,2025-01-24,False,78
ACC000207,Meridian Works,meridianworks.ai,FinTech,Enterprise,Central,2678,494717740,USR000007,2025-06-29,True,54
ACC000208,Atlas Platform 18,atlasplatform18.net,Healthcare Tech,Mid-Market,Central,1003,185435723,USR000021,2024-06-09,False,50
ACC000209,Vertex Analytics 84,vertexanalytics84.co,Manufacturing Tech,SMB,Central,88,11183450,USR000005,2024-01-16,False,88
ACC000210,Northstar Software 45,northstarsoftware4.co,HR Tech,Mid-Market,Mountain,758,86812664,USR000009,2025-06-09,True,47
ACC000211,Atlas Health 66,atlashealth66.net,Manufacturing Tech,SMB,West,231,34534261,USR000023,2025-07-07,False,93
ACC000212,Nova Cloud,novacloud.net,EdTech,SMB,Mountain,28,6001310,USR000009,2023-05-13,True,75
ACC000213,Northstar Networks,northstarnetworks.co,SaaS,Mid-Market,Southeast,254,29246292,USR000014,2026-02-18,False,79
ACC000214,Catalyst Data,catalystdata.net,Cybersecurity,SMB,International,204,39944799,USR000019,2023-06-05,False,74
ACC000215,Atlas Markets 26,atlasmarkets26.ai,Logistics Tech,Mid-Market,Southeast,303,72115195,USR000011,2025-08-26,False,72
ACC000216,Meridian Ops,meridianops.io,HR Tech,Enterprise,Northeast,2989,410758589,USR000009,2025-10-05,False,70
ACC000217,Nimbus Labs,nimbuslabs.co,Ecommerce,Mid-Market,Northeast,309,59604604,USR000007,2023-05-06,False,37
ACC000218,Atlas Analytics 99,atlasanalytics99.io,Cybersecurity,Mid-Market,Southeast,374,62584937,USR000021,2025-07-07,False,87
ACC000219,Cobalt Dynamics 59,cobaltdynamics59.ai,SaaS,SMB,Southeast,53,10123787,USR000005,2023-05-09,False,81
